task_id,KF_cvsr,KF_object_f1,KF_relation_f1,KF_binding_f1,SA_cvsr,SA_object_f1,SA_relation_f1,SA_binding_f1,KF_llm_calls,SA_llm_calls
EXT-AR-013,False,0.1515,1.0,1.0,False,0.9706,0.2,0.0,2,3
EXT-AR-028,False,0.4211,0.75,1.0,False,0.1,0.2667,0.0,2,3
EXT-AR-048,False,0.1176,0.6,1.0,False,0.0533,0.3333,0.0,2,3
EXT-AR-009,False,0.3043,1.0,1.0,False,0.08,0.2857,0.0,2,3
EXT-AR-019,False,0.1613,0.75,1.0,False,0.0,0.0,0.0,2,1
EXT-AR-040,False,0.9706,0.75,1.0,False,0.0,0.0,0.0,2,1
EXT-AR-002,False,0.2727,1.0,1.0,False,0.08,0.1333,0.0,2,3
EXT-AR-059,False,0.3548,0.8333,0.6667,False,0.2812,0.625,0.0,2,3
EXT-AR-021,False,0.3889,0.75,1.0,False,0.0,0.0,0.0,2,1
EXT-AR-041,False,0.2368,0.75,1.0,False,0.9367,0.5455,0.0,2,3
EXT-AR-008,True,1.0,1.0,1.0,False,0.1,0.3333,0.0,2,3
EXT-AR-045,False,0.963,0.75,1.0,False,0.0,0.0,0.0,2,1
EXT-AR-054,False,0.129,0.6,1.0,False,0.0896,0.0,0.0,2,3
EXT-AR-052,False,0.2759,0.6,1.0,False,0.0656,0.6154,0.0,2,3
EXT-AR-016,False,0.32,0.75,1.0,False,0.0,0.0,0.0,2,1
EXT-AR-060,False,0.9286,0.6,1.0,False,0.0272,0.0741,0.0,2,3
EXT-AR-030,False,0.9524,0.75,1.0,False,0.0,0.0,0.0,2,1
EXT-AR-005,True,1.0,1.0,1.0,False,0.0506,0.1176,0.0,2,3
EXT-AR-007,False,1.0,1.0,0.5,False,0.0588,0.5,0.0,2,3
EXT-AR-022,False,0.3636,0.75,1.0,False,0.087,0.4,0.0,2,3
EXT-AR-025,False,0.1786,0.75,1.0,False,0.0645,0.25,0.0,2,3
EXT-AR-027,False,0.1944,0.75,1.0,False,0.0533,0.3636,0.0,2,3
EXT-AR-053,False,0.2727,0.6,1.0,False,0.0,0.0,0.0,2,1
EXT-AR-039,False,0.2333,0.75,1.0,False,0.0328,0.3077,0.0,2,3
EXT-AR-035,False,0.95,0.75,1.0,False,0.08,0.1111,0.0,2,3
EXT-AR-056,False,0.3333,0.6,1.0,False,0.8,0.4444,0.0,2,3
EXT-AR-036,False,0.2222,0.75,1.0,False,0.1026,0.3333,0.0,2,3
EXT-AR-051,False,0.28,0.6,1.0,False,0.0,0.0,0.0,2,1
EXT-AR-001,False,0.2778,1.0,1.0,False,0.973,0.4444,0.0,2,3
EXT-AR-018,False,0.1481,0.75,1.0,False,0.0702,0.5,0.0,2,3
EXT-AR-042,False,0.2667,0.75,1.0,False,0.1111,0.4,0.0,2,3
EXT-AR-004,False,0.2667,1.0,1.0,False,0.0625,0.2667,0.0,2,3
EXT-AR-043,False,0.2632,0.75,1.0,False,0.0909,0.4211,0.0,2,3
EXT-AR-026,False,0.1875,0.75,1.0,False,0.8857,0.25,0.0,2,3
EXT-AR-050,True,0.9545,0.8333,0.6667,False,0.0,0.0,0.0,2,1
EXT-AR-046,False,0.25,0.6,1.0,False,0.0,0.0,0.0,2,1
EXT-AR-057,False,0.3182,0.6,1.0,False,0.0,0.0,0.0,2,1
EXT-AR-015,True,1.0,1.0,1.0,False,0.0816,0.1333,0.0,2,3
EXT-AR-024,False,0.1667,0.75,1.0,False,0.0714,0.3529,0.0,2,3
EXT-AR-049,False,0.8824,0.6,1.0,False,0.2439,0.2353,0.0,2,3
EXT-AR-020,False,0.9714,0.75,1.0,False,0.0449,0.1429,0.0,2,3
EXT-AR-010,True,1.0,1.0,1.0,False,0.0,0.0,0.0,2,1
EXT-AR-003,False,0.2692,1.0,1.0,False,0.963,0.3077,0.0,2,3
EXT-AR-023,False,0.3462,0.75,1.0,False,0.0656,0.3077,0.0,2,3
EXT-AR-033,False,0.2121,0.75,1.0,False,0.0,0.0,0.0,2,1
EXT-AR-006,False,0.125,1.0,1.0,False,0.9697,0.2222,0.0,2,3
EXT-AR-011,False,0.2903,1.0,1.0,False,0.9688,0.2857,0.0,2,3
EXT-AR-034,False,0.2162,0.75,1.0,False,0.0,0.0,0.0,2,1
EXT-AR-038,False,0.2308,0.75,1.0,False,0.0755,0.6667,0.0,2,3
EXT-AR-031,False,0.2,0.75,1.0,False,0.0714,0.25,0.0,2,3
EXT-AR-029,False,0.3913,0.75,1.0,False,0.3673,0.2353,0.0,2,3
EXT-AR-047,False,0.25,0.6,1.0,False,0.0506,0.0,0.0,2,3
EXT-AR-032,False,0.9655,0.75,0.6667,False,0.0625,0.4706,0.0,2,3
EXT-AR-044,False,0.2609,0.75,1.0,False,0.0,0.0,0.0,2,1
EXT-AR-014,False,0.375,1.0,1.0,False,0.3158,0.2667,0.0,2,3
EXT-AR-037,False,0.2273,0.75,1.0,False,0.0851,0.5455,0.0,2,3
EXT-AR-017,False,0.9655,0.75,0.6667,False,0.0635,0.3077,0.0,2,3
EXT-AR-012,False,0.1379,1.0,1.0,False,0.0635,0.2222,0.0,2,3
EXT-AR-055,False,0.9429,0.6,1.0,False,0.0488,0.2857,0.0,2,3
EXT-AR-058,False,0.9231,0.6,1.0,False,0.0,0.0,0.0,2,1
