task_id,task_category,method,run_id,success,required_objects,generated_objects,correct_objects,required_relations,generated_relations,correct_relations,required_bindings,generated_bindings,correct_bindings,checked_rules,violated_rules,manual_corrections,expected_trace_steps,traceable_steps,trace_field_components,trace_executed_components,trace_declared_steps,trace_executed_steps,trace_evidence_steps,missing_objects,extra_objects,hierarchy_errors,relation_direction_errors,missing_relations,missing_bindings,binding_missing_fields,asset_type_errors,layout_boundary_errors,pseudo_trace_steps,trace_not_auditable,memory_range_errors,elapsed_ms,notes
T01,场景构建,Direct-LLM + Schema,1,1,30,31,30,38,30,30,10,3,3,10,0,0,1,0,0,0,1,0,0,0,1,0,0,8,7,0,0,0,1,1,0,22605,所有对象层级合法，资产使用占位策略，无缺失中断。
T01,场景构建,Ours KAFarmTwin,1,1,30,25,25,38,81,38,10,33,10,6,0,0,5,5,5,5,0,10,10,5,0,0,21,0,0,0,0,0,0,0,0,183285,"planSource={'mode': 'rule', 'model': '', 'provider': 'scene-agent', 'attempt': 2, 'reason': 'SceneBuilderAgent scene.plan 回退到规则规划器'}; missingAssets=2"
T02,场景构建,Direct-LLM + Schema,1,0,16,15,15,24,19,19,9,2,2,10,2,0,1,0,0,0,1,0,0,1,0,0,0,5,7,0,0,0,1,1,0,111024,直接生成，未使用工具，部分规则违反
T02,场景构建,Ours KAFarmTwin,1,1,16,6,6,24,18,18,9,17,9,6,0,0,5,5,5,5,0,10,10,10,0,0,2,6,0,0,0,0,0,0,0,31415,"planSource={'mode': 'llm', 'model': 'deepseek-ai/DeepSeek-V4-Flash', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=4"
T03,场景构建,Direct-LLM + Schema,1,1,48,48,48,58,47,47,8,2,2,4,0,0,1,0,0,0,1,0,0,0,0,0,0,11,6,0,0,0,1,1,0,40277,直接生成，无工具调用，标尺和无人机点使用占位资产
T03,场景构建,Ours KAFarmTwin,1,1,48,25,25,58,76,58,8,26,8,5,0,0,5,5,5,5,0,10,10,23,0,0,0,0,0,0,0,0,0,0,0,180388,"planSource={'mode': 'rule', 'model': '', 'provider': 'scene-agent', 'attempt': 2, 'reason': 'SceneBuilderAgent scene.plan 回退到规则规划器'}; missingAssets=1"
T04,场景构建,Direct-LLM + Schema,1,1,42,58,42,54,61,54,12,4,4,10,0,0,1,0,0,0,1,0,0,0,16,0,0,0,8,0,0,0,1,1,0,54743,所有对象层级符合R1，传感器绑定营养液箱满足R2，空间布局合理，资产类型默认占位，摄像头观测栽培架1满足R5，泵控制营养液箱满足R6，无规则冲突。
T04,场景构建,Ours KAFarmTwin,1,0,42,26,26,54,79,54,12,31,12,6,1,1,5,5,5,5,0,10,10,16,0,0,24,0,0,0,0,0,0,0,0,127640,"planSource={'mode': 'llm', 'model': 'deepseek-ai/DeepSeek-V4-Flash', 'provider': 'openai-compatible', 'attempt': 2, 'reason': 'llm json plan'}; missingAssets=4"
T05,场景构建,Direct-LLM + Schema,1,1,34,35,34,45,34,34,10,3,3,10,0,0,1,0,0,0,1,0,0,0,1,0,0,11,7,0,0,0,1,1,0,29850,所有对象层级合法，无缺失资产，无需修正。
T05,场景构建,Ours KAFarmTwin,1,1,34,28,28,45,90,45,10,34,10,6,0,0,5,5,5,5,0,10,10,6,0,0,0,0,0,0,0,0,0,0,0,73083,"planSource={'mode': 'llm', 'model': 'deepseek-ai/DeepSeek-V4-Flash', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=2"
T06,场景构建,Direct-LLM + Schema,1,1,35,36,35,48,40,40,12,5,5,10,0,0,1,0,0,0,1,0,0,0,1,0,0,8,7,0,0,0,1,1,0,31222,所有对象层级合法，传感器和摄像头绑定温室，设备控制温室，无资产缺失，无规则冲突。
T06,场景构建,Ours KAFarmTwin,1,1,35,3,3,48,10,10,12,10,10,6,0,0,5,5,5,5,0,12,12,32,0,0,2,38,2,0,0,0,0,0,0,134839,"planSource={'mode': 'rule', 'model': '', 'provider': 'scene-agent', 'attempt': 2, 'reason': 'SceneBuilderAgent scene.plan 回退到规则规划器'}; missingAssets=2"
T07,资产路由,Direct-LLM + Schema,1,1,24,30,24,31,29,29,24,6,6,10,0,0,1,0,0,0,1,0,0,0,6,0,0,2,18,0,0,0,1,1,0,26771,5株重点番茄使用F2DMAS，15株背景番茄使用轻量GLB，摄像头和传感器使用占位资产，层级和绑定均合法。
T07,资产路由,Ours KAFarmTwin,1,1,24,8,8,31,25,25,24,16,16,4,0,0,5,5,5,5,0,10,10,16,0,0,6,6,8,0,0,0,0,0,0,80587,"planSource={'mode': 'rule', 'model': '', 'provider': 'scene-agent', 'attempt': 2, 'reason': 'SceneBuilderAgent scene.plan 回退到规则规划器'}; missingAssets=2"
T08,资产路由,Direct-LLM + Schema,1,1,88,93,88,108,92,92,88,3,3,6,0,0,1,0,0,0,1,0,0,0,5,0,0,16,85,0,0,0,1,1,0,74488,80株生菜使用轻量资产，温室和栽培槽程序化，缺失设备生成占位任务
