task_id,task_category,method,run_id,success,required_objects,generated_objects,correct_objects,required_relations,generated_relations,correct_relations,required_bindings,generated_bindings,correct_bindings,checked_rules,violated_rules,manual_corrections,expected_trace_steps,traceable_steps,trace_field_components,trace_executed_components,trace_declared_steps,trace_executed_steps,trace_evidence_steps,missing_objects,extra_objects,hierarchy_errors,relation_direction_errors,missing_relations,missing_bindings,binding_missing_fields,asset_type_errors,layout_boundary_errors,pseudo_trace_steps,trace_not_auditable,memory_range_errors,elapsed_ms,notes
T01,场景构建,Direct-LLM + Schema,1,1,30,31,30,38,31,31,10,4,4,8,0,0,1,0,0,0,1,0,0,0,1,0,0,7,6,0,0,0,1,1,0,17258,场景对象层级符合R1，布局无越界悬空符合R3，数据绑定完整符合R2，资产类型匹配符合R4，摄像头位姿观测目标视场符合R5，灌溉设备绑定控制区域符合R6，Trace步骤覆盖规划布局绑定校验符合R7，无缺失资产冲突符合R9，无规则违反
T01,场景构建,LLM + Ontology/Rules Prompt,1,1,30,33,30,38,52,38,10,6,6,8,0,0,5,0,0,0,2,0,0,0,3,0,0,0,4,0,0,0,2,1,0,24060,场景符合所有共享规则，资产采用程序化生成策略，无需占位对象，数据绑定含对象、单位、时间戳，摄像头位姿、观测目标和视场覆盖符合R5，灌溉设备绑定控制区域符合R6
T01,场景构建,RAG-Agent + Ontology/Rules,1,1,30,34,30,38,58,38,10,26,10,8,0,0,5,0,0,0,5,0,0,0,4,1,58,0,0,26,0,0,5,1,0,33894,本次番茄温室场景构建符合所有共享规则，无缺失资产，无需修正
T01,场景构建,Single-Agent + Validator,1,1,30,31,30,38,36,36,10,3,3,10,0,0,5,1,1,0,5,0,0,0,1,0,0,2,7,0,0,0,5,1,0,20875,单Agent完成场景构建，Validator校验所有规则通过；摄像头位姿为高度2.5m、俯角30度，视场覆盖栽培地块，符合R5要求
T01,场景构建,Multi-Agent + Shared Knowledge,1,1,30,34,30,38,35,35,10,6,6,10,0,0,5,5,5,0,6,0,0,0,4,0,0,3,4,0,0,0,6,1,0,17036,场景构建完成，层级布局合规，绑定完整，无冲突
T01,场景构建,Ours KAFarmTwin,1,1,30,25,25,38,81,38,10,33,10,6,0,0,5,5,5,5,0,10,10,5,0,0,21,0,0,0,0,0,0,0,0,11233,"planSource={'mode': 'rule', 'model': '', 'provider': 'scene-agent', 'attempt': 2, 'reason': 'SceneBuilderAgent scene.plan 回退到规则规划器'}; missingAssets=2"
T02,场景构建,Direct-LLM + Schema,1,1,16,15,15,24,25,24,9,10,9,9,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,5,1,0,19802,草莓育苗温室场景构建完成，包含6苗床、3补光灯、2传感器、2摄像头、1套微喷灌溉，符合所有规则
T02,场景构建,LLM + Ontology/Rules Prompt,1,1,16,15,15,24,38,24,9,8,8,6,0,0,5,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,2,1,0,14003,场景构建完成，符合所有共享规则要求，无资产缺失与规则冲突
T02,场景构建,RAG-Agent + Ontology/Rules,1,1,16,15,15,24,28,24,9,8,8,8,0,0,5,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0,5,1,0,14261,本次草莓育苗温室场景构建符合所有规则要求，无缺失资产，无需修正
T02,场景构建,Single-Agent + Validator,1,1,16,16,16,24,29,24,9,5,5,10,0,0,5,1,1,0,5,0,0,0,0,0,0,0,4,0,0,0,5,1,0,15011,场景构建完成，所有规则校验通过，无缺失资产
T02,场景构建,Multi-Agent + Shared Knowledge,1,1,16,15,15,24,42,24,9,8,8,6,0,0,5,5,5,0,6,0,0,1,0,0,0,0,1,0,0,0,6,1,0,21283,草莓育苗温室场景构建完成，所有规则校验通过
T02,场景构建,Ours KAFarmTwin,1,1,16,8,8,24,23,23,9,17,9,6,0,0,5,5,5,5,0,10,10,8,0,0,2,1,0,0,0,0,0,0,0,10889,"planSource={'mode': 'rule', 'model': '', 'provider': 'scene-agent', 'attempt': 2, 'reason': 'SceneBuilderAgent scene.plan 回退到规则规划器'}; missingAssets=2"
T03,场景构建,Direct-LLM + Schema,1,1,48,48,48,58,48,48,8,2,2,7,0,0,1,0,0,0,1,0,0,0,0,0,0,10,6,0,0,0,1,1,0,17378,玉米株按行均匀分配每行10株；无人机采集点覆盖地块全区域，绑定含单位时间戳；标尺作为空间参考绑定到地块
T03,场景构建,LLM + Ontology/Rules Prompt,1,1,48,49,48,58,48,48,8,1,1,10,0,0,5,1,1,0,2,0,0,0,1,0,0,10,7,0,0,0,2,1,0,13946,场景构建符合R1-R10全部规则，对象层级、空间布局、资产类型、数据绑定均合法，无缺失资产或规则冲突
T03,场景构建,RAG-Agent + Ontology/Rules,1,1,48,89,48,58,48,48,8,43,8,10,0,0,5,0,0,0,5,0,0,0,41,0,0,10,0,0,0,0,5,1,0,21417,模拟构建玉米表型观测区，未指定GLB采用占位资产，符合所有共享规则
T03,场景构建,Single-Agent + Validator,1,1,48,14,14,58,13,13,8,4,4,10,0,0,5,0,0,0,5,0,0,34,0,0,0,45,4,0,0,0,5,1,0,16099,每行作物行包含10株玉米共4行40株，其余植株按行内均匀分布规则生成；本次构建符合所有共享规则，对象层级、空间布局、数据绑定均合法，无违规项
T03,场景构建,Multi-Agent + Shared Knowledge,1,1,48,50,48,58,47,47,8,4,4,6,0,0,5,5,5,0,6,0,0,0,2,0,0,11,4,0,0,0,6,1,0,22712,场景构建符合所有适用共享规则，无规则冲突，缺失GLB资产已按R9生成占位对象与资产生成任务
T03,场景构建,Ours KAFarmTwin,1,1,48,25,25,58,76,58,8,26,8,5,0,0,5,5,5,5,0,10,10,23,0,0,0,0,0,0,0,0,0,0,0,10869,"planSource={'mode': 'rule', 'model': '', 'provider': 'scene-agent', 'attempt': 2, 'reason': 'SceneBuilderAgent scene.plan 回退到规则规划器'}; missingAssets=1"
T04,场景构建,Direct-LLM + Schema,1,1,42,15,15,54,18,18,12,4,4,8,0,0,1,0,0,0,1,0,0,27,0,0,0,36,8,0,0,0,1,1,0,16558,符合所有适用规则，无冲突无缺失资产
T04,场景构建,LLM + Ontology/Rules Prompt,1,1,42,46,42,54,51,51,12,1,1,6,0,0,5,0,0,0,0,0,0,0,4,0,0,3,11,0,0,0,0,1,0,19176,
T04,场景构建,RAG-Agent + Ontology/Rules,1,1,42,42,42,54,40,40,12,4,4,9,0,0,5,0,0,0,5,0,0,0,0,0,0,14,8,0,0,0,5,1,0,17841,
T04,场景构建,Single-Agent + Validator,1,1,42,42,42,54,43,43,12,11,11,10,0,0,5,4,4,0,5,0,0,0,0,0,0,11,1,0,0,0,5,1,0,27298,场景构建完成，全规则校验通过，资产生成任务已触发
T04,场景构建,Multi-Agent + Shared Knowledge,1,1,42,43,42,54,41,41,12,4,4,7,0,0,5,5,5,0,6,0,0,0,1,0,0,13,8,0,0,0,6,1,0,28079,对象层级、空间布局、数据绑定、资产类型、摄像头及设备覆盖均符合规则要求，无违规项
T04,场景构建,Ours KAFarmTwin,1,1,42,29,29,54,87,54,12,36,12,6,0,0,5,5,5,5,0,10,10,13,0,0,26,0,0,0,0,0,0,0,0,10305,"planSource={'mode': 'rule', 'model': '', 'provider': 'scene-agent', 'attempt': 2, 'reason': 'SceneBuilderAgent scene.plan 回退到规则规划器'}; missingAssets=2"
T05,场景构建,Direct-LLM + Schema,1,1,34,70,34,45,69,45,10,3,3,8,0,0,1,0,0,0,1,0,0,0,36,0,0,0,7,0,0,0,1,1,0,30898,对象层级符合R1，数据绑定符合R2，空间布局符合R3，资产类型符合R4，摄像头位姿/观测目标/视场符合R5，滴灌设备绑定控制区域符合R6，trace覆盖全流程符合R7，缺失资产生成占位符合R9，无规则冲突
T05,场景构建,LLM + Ontology/Rules Prompt,1,1,34,35,34,45,79,45,10,3,3,8,0,0,5,1,1,0,2,0,0,0,1,0,0,0,7,0,0,0,2,1,0,19729,场景符合R1-R7、R9，无冲突，资产绑定合规
T05,场景构建,RAG-Agent + Ontology/Rules,1,1,34,35,34,45,69,45,10,29,10,10,0,0,5,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,6,1,0,22797,场景构建完成，Plant无现成GLB生成占位对象与TRELLIS.2资产生成任务，符合R9要求，所有规则校验通过
T05,场景构建,Single-Agent + Validator,1,1,34,35,34,45,69,45,10,28,10,10,0,0,5,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,5,1,0,20295,完成果树育苗区全场景构建，对象层级、空间布局、资产类型、数据绑定均符合规则要求
T05,场景构建,Multi-Agent + Shared Knowledge,1,1,34,35,34,45,35,35,10,3,3,7,0,0,5,5,5,0,6,0,0,0,1,0,0,10,7,0,0,0,6,1,0,20352,果树育苗区场景构建完成，符合所有共享规则要求
T05,场景构建,Ours KAFarmTwin,1,1,34,4,4,45,15,15,10,10,10,6,0,0,5,5,5,5,0,10,10,30,0,0,0,30,0,0,0,0,0,0,0,11103,"planSource={'mode': 'rule', 'model': '', 'provider': 'scene-agent', 'attempt': 2, 'reason': 'SceneBuilderAgent scene.plan 回退到规则规划器'}; missingAssets=1"
