task_id,task_category,method,run_id,success,required_objects,generated_objects,required_relations,correct_relations,required_bindings,correct_bindings,checked_rules,violated_rules,manual_corrections,expected_trace_steps,traceable_steps,elapsed_ms,notes
T01,场景构建,Direct-LLM,1,1,30,29,38,28,10,6,6,0,0,1,1,14329,直接生成，无工具调用
T01,场景构建,Single-Agent,1,1,30,30,38,29,10,3,4,0,0,5,4,15505,单Agent顺序执行，无RAG或多Agent
T01,场景构建,RAG-Agent,1,1,30,29,38,28,10,7,6,0,0,5,5,13911,构建完成，无违规
T01,场景构建,Multi-Agent,1,1,30,29,38,28,10,7,6,0,0,5,5,14325,场景构建完成，符合任务要求
T01,场景构建,Ours,1,1,30,25,38,38,10,10,6,0,0,5,5,29624,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=2"
T02,场景构建,Direct-LLM,1,1,16,14,24,14,9,9,6,0,0,1,1,8183,直接生成，未使用工具
T02,场景构建,Single-Agent,1,1,16,15,24,14,9,9,2,0,0,5,4,10136,单Agent顺序完成解析、资产选择、布局和绑定
T02,场景构建,RAG-Agent,1,1,16,15,24,14,9,9,6,0,0,5,5,10630,根据任务构建了草莓育苗温室，包含6苗床、3补光灯、2温湿度传感器、2摄像头、1微喷灌溉。
T02,场景构建,Multi-Agent,1,1,16,14,24,8,9,4,3,0,0,5,5,9244,构建草莓育苗温室场景，满足基本要求。
T02,场景构建,Ours,1,1,16,15,24,24,9,9,6,0,0,5,5,28197,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=3"
T03,场景构建,Direct-LLM,1,1,48,47,58,44,8,2,5,0,0,1,1,17444,直接生成，未使用工具
T03,场景构建,Single-Agent,1,1,48,47,58,46,8,2,4,0,0,5,4,20735,单Agent顺序执行，未使用RAG或多Agent
T03,场景构建,RAG-Agent,1,1,48,47,58,46,8,2,10,0,0,5,2,17938,任务完成，未使用多Agent或Validator
T03,场景构建,Multi-Agent,1,1,48,47,58,44,8,2,5,0,0,5,5,19641,任务完成，对象数量符合要求
