section,experiment,dataset,model,method,metric,value,ci_lower,ci_upper,p_value,source_file,canonical
5.2,External300,External300,DeepSeek,KAFarmTwin-TypedRepair,cvsr,0.7167,,,,"External300_CANONICAL_METRICS.json",true
5.2,External300,External300,DeepSeek,SingleAgent-AllTools,cvsr,0.4800,,,,"External300_CANONICAL_METRICS.json",true
5.2,External300,External300,DeepSeek,paired,delta,0.2367,0.1833,0.29,,External300_CANONICAL_METRICS.json,true
5.2,External300,External300,DeepSeek,paired,mcnemar_p,8.45e-17,,,8.45e-17,External300_CANONICAL_METRICS.json,true
5.2,External300,External300,DeepSeek,paired,mcnemar_b,77,,,,External300_CANONICAL_METRICS.json,true
5.2,External300,External300,DeepSeek,paired,mcnemar_c,6,,,,External300_CANONICAL_METRICS.json,true
5.2,External300,External300,DeepSeek,KAFarmTwin-TypedRepair,object_f1,0.6896,,,,"External300_CANONICAL_METRICS.json",true
5.2,External300,External300,DeepSeek,SingleAgent-AllTools,object_f1,0.6351,,,,"External300_CANONICAL_METRICS.json",true
5.2,External300,External300,DeepSeek,KAFarmTwin-TypedRepair,relation_f1,0.6995,,,,"External300_CANONICAL_METRICS.json",true
5.2,External300,External300,DeepSeek,SingleAgent-AllTools,relation_f1,0.3790,,,,"External300_CANONICAL_METRICS.json",true
5.2,External300,External300,DeepSeek,KAFarmTwin-TypedRepair,binding_f1,0.5939,,,,"External300_CANONICAL_METRICS.json",true
5.2,External300,External300,DeepSeek,SingleAgent-AllTools,binding_f1,0.2000,,,,"External300_CANONICAL_METRICS.json",true
5.2,External300,External300,DeepSeek,KAFarmTwin-TypedRepair,critical_recall,1.000,,,,"External300_CANONICAL_METRICS.json",true
5.2,External300,External300,DeepSeek,SingleAgent-AllTools,critical_recall,0.950,,,,"External300_CANONICAL_METRICS.json",true
5.2,External300,External300,DeepSeek,KAFarmTwin-TypedRepair,fatal_rate,0.000,,,,"External300_CANONICAL_METRICS.json",true
5.2,External300,External300,DeepSeek,SingleAgent-AllTools,fatal_rate,0.250,,,,"External300_CANONICAL_METRICS.json",true
5.2,External300,External300,DeepSeek,KAFarmTwin-TypedRepair,evidence_precision,1.000,,,,"External300_CANONICAL_METRICS.json",true
5.2,External300,External300,DeepSeek,SingleAgent-AllTools,evidence_precision,0.9467,,,,"External300_CANONICAL_METRICS.json",true
5.2,External300,External300,DeepSeek,KAFarmTwin-TypedRepair,replay_success,0.8083,,,,"External300_CANONICAL_METRICS.json",true
5.2,External300,External300,DeepSeek,SingleAgent-AllTools,replay_success,0.4553,,,,"External300_CANONICAL_METRICS.json",true
5.2,External300,External300,DeepSeek,KAFarmTwin-TypedRepair,tokens_total,668769,,,,External300_CANONICAL_METRICS.json,true
5.2,External300,External300,DeepSeek,SingleAgent-AllTools,tokens_total,472722,,,,External300_CANONICAL_METRICS.json,true
