task_id,original_object_f1,original_relation_f1,original_binding_f1,cvsr,matched_gold_objects,unmatched_gold_objects,matched_kf_objects,extra_kf_objects,total_gold_nodes,total_kf_nodes,canonical_object_precision,canonical_object_recall,canonical_object_f1,matched_edges,total_gold_edges,total_kf_edges,canonical_relation_precision,canonical_relation_recall,canonical_relation_f1,matched_bindings,total_gold_bindings,total_kf_bindings,canonical_binding_f1,asset_key_match,gold_has_asset_requirement,failure_cause,evidence
EXT-AR-001,0.2778,1.0,1.0,False,4,0,4,0,4,4,1.0,1.0,1.0,3,3,3,1.0,1.0,1.0,2,2,2,1.0,True,True,ID_ONLY_OR_CANONICALIZATION,matched
EXT-AR-002,0.2727,1.0,1.0,False,4,0,4,0,4,4,1.0,1.0,1.0,3,3,3,1.0,1.0,1.0,2,2,2,1.0,True,True,ID_ONLY_OR_CANONICALIZATION,matched
EXT-AR-003,0.2692,1.0,1.0,False,4,0,4,0,4,4,1.0,1.0,1.0,3,3,3,1.0,1.0,1.0,2,2,2,1.0,True,True,ID_ONLY_OR_CANONICALIZATION,matched
EXT-AR-004,0.2667,1.0,1.0,False,4,0,4,0,4,4,1.0,1.0,1.0,3,3,3,1.0,1.0,1.0,2,2,2,1.0,True,True,ID_ONLY_OR_CANONICALIZATION,matched
EXT-AR-005,1.0,1.0,1.0,True,4,0,4,0,4,4,1.0,1.0,1.0,3,3,3,1.0,1.0,1.0,2,2,2,1.0,True,True,ID_ONLY_OR_CANONICALIZATION,matched
EXT-AR-006,0.125,1.0,1.0,False,4,0,4,0,4,4,1.0,1.0,1.0,3,3,3,1.0,1.0,1.0,2,2,2,1.0,True,True,ID_ONLY_OR_CANONICALIZATION,matched
EXT-AR-007,1.0,1.0,0.5,False,4,0,4,0,4,4,1.0,1.0,1.0,3,3,3,1.0,1.0,1.0,2,2,2,1.0,True,True,ID_ONLY_OR_CANONICALIZATION,matched
EXT-AR-008,1.0,1.0,1.0,True,4,0,4,0,4,4,1.0,1.0,1.0,3,3,3,1.0,1.0,1.0,2,2,2,1.0,True,True,ID_ONLY_OR_CANONICALIZATION,matched
EXT-AR-009,0.3043,1.0,1.0,False,4,0,4,0,4,4,1.0,1.0,1.0,3,3,3,1.0,1.0,1.0,2,2,2,1.0,True,True,ID_ONLY_OR_CANONICALIZATION,matched
EXT-AR-010,1.0,1.0,1.0,True,4,0,4,0,4,4,1.0,1.0,1.0,3,3,3,1.0,1.0,1.0,2,2,2,1.0,True,True,ID_ONLY_OR_CANONICALIZATION,matched
