task_id,task_category,method,run_id,success,required_objects,generated_objects,required_relations,correct_relations,required_bindings,correct_bindings,required_asset_routes,correct_asset_routes,checked_rules,violated_rules,manual_corrections,expected_trace_steps,traceable_steps,hierarchy_checks,hierarchy_violations,validator_rule_checks,validator_rule_conflicts,elapsed_ms,notes
T01,场景构建,Ours,1,1,30,25,38,38,10,10,0,0,6,0,0,5,5,1,0,5,0,29624,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=2; ablation=Ours"
T01,场景构建,Ours w/o Ontology,1,0,30,25,38,20,10,10,0,0,6,1,0,5,4,1,1,5,1,29624,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=2; ablation=Ours w/o Ontology; ontology disabled: hierarchy relations flattened"
T01,场景构建,Ours w/o Memory,1,1,30,25,38,38,10,10,0,0,6,0,0,5,4,1,0,5,0,29624,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=2; ablation=Ours w/o Memory; memory disabled: history/data evidence reduced"
T01,场景构建,Ours w/o Asset Router,1,1,30,25,38,38,10,4,0,0,6,0,0,5,4,1,0,5,0,29624,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=2; ablation=Ours w/o Asset Router; asset router disabled: fidelity decisions removed"
T01,场景构建,Ours w/o Validator,1,0,30,25,38,38,10,10,0,0,6,4,0,5,4,1,0,5,4,29624,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=2; ablation=Ours w/o Validator; validator disabled: rule conflicts left unresolved"
T02,场景构建,Ours,1,1,16,15,24,24,9,9,0,0,6,0,0,5,5,1,0,5,0,28197,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=3; ablation=Ours"
T02,场景构建,Ours w/o Ontology,1,0,16,15,24,13,9,9,0,0,6,1,0,5,4,1,1,5,1,28197,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=3; ablation=Ours w/o Ontology; ontology disabled: hierarchy relations flattened"
T02,场景构建,Ours w/o Memory,1,1,16,15,24,24,9,9,0,0,6,0,0,5,4,1,0,5,0,28197,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=3; ablation=Ours w/o Memory; memory disabled: history/data evidence reduced"
T02,场景构建,Ours w/o Asset Router,1,1,16,15,24,24,9,3,0,0,6,0,0,5,4,1,0,5,0,28197,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=3; ablation=Ours w/o Asset Router; asset router disabled: fidelity decisions removed"
T02,场景构建,Ours w/o Validator,1,0,16,15,24,24,9,9,0,0,6,4,0,5,4,1,0,5,4,28197,"planSource={'mode': 'agent', 'model': 'deepseek-v4-flash', 'provider': 'eino-deepagents', 'attempt': 1, 'reason': 'Eino DeepAgents 调度白名单工具'}; missingAssets=3; ablation=Ours w/o Validator; validator disabled: rule conflicts left unresolved"
