task_id,task_category,method,missing_objects,extra_objects,hierarchy_errors,relation_direction_errors,missing_relations,missing_bindings,binding_missing_fields,asset_type_errors,layout_boundary_errors,pseudo_trace_steps,trace_not_auditable,memory_range_errors
T01,场景构建,Direct-LLM + Schema,0,1,0,0,7,6,0,0,0,1,1,0
T01,场景构建,LLM + Ontology/Rules Prompt,0,3,0,0,0,4,0,0,0,2,1,0
T01,场景构建,RAG-Agent + Ontology/Rules,0,4,1,58,0,0,26,0,0,5,1,0
T01,场景构建,Single-Agent + Validator,0,1,0,0,2,7,0,0,0,5,1,0
T01,场景构建,Multi-Agent + Shared Knowledge,0,4,0,0,3,4,0,0,0,6,1,0
T01,场景构建,Ours KAFarmTwin,5,0,0,21,0,0,0,0,0,0,0,0
T02,场景构建,Direct-LLM + Schema,1,0,0,0,0,0,0,0,0,5,1,0
T02,场景构建,LLM + Ontology/Rules Prompt,1,0,0,0,0,1,0,0,0,2,1,0
T02,场景构建,RAG-Agent + Ontology/Rules,1,0,0,0,0,1,0,0,0,5,1,0
T02,场景构建,Single-Agent + Validator,0,0,0,0,0,4,0,0,0,5,1,0
T02,场景构建,Multi-Agent + Shared Knowledge,1,0,0,0,0,1,0,0,0,6,1,0
T02,场景构建,Ours KAFarmTwin,8,0,0,2,1,0,0,0,0,0,0,0
T03,场景构建,Direct-LLM + Schema,0,0,0,0,10,6,0,0,0,1,1,0
T03,场景构建,LLM + Ontology/Rules Prompt,0,1,0,0,10,7,0,0,0,2,1,0
T03,场景构建,RAG-Agent + Ontology/Rules,0,41,0,0,10,0,0,0,0,5,1,0
T03,场景构建,Single-Agent + Validator,34,0,0,0,45,4,0,0,0,5,1,0
T03,场景构建,Multi-Agent + Shared Knowledge,0,2,0,0,11,4,0,0,0,6,1,0
T03,场景构建,Ours KAFarmTwin,23,0,0,0,0,0,0,0,0,0,0,0
T04,场景构建,Direct-LLM + Schema,27,0,0,0,36,8,0,0,0,1,1,0
T04,场景构建,LLM + Ontology/Rules Prompt,0,4,0,0,3,11,0,0,0,0,1,0
T04,场景构建,RAG-Agent + Ontology/Rules,0,0,0,0,14,8,0,0,0,5,1,0
T04,场景构建,Single-Agent + Validator,0,0,0,0,11,1,0,0,0,5,1,0
T04,场景构建,Multi-Agent + Shared Knowledge,0,1,0,0,13,8,0,0,0,6,1,0
T04,场景构建,Ours KAFarmTwin,13,0,0,26,0,0,0,0,0,0,0,0
T05,场景构建,Direct-LLM + Schema,0,36,0,0,0,7,0,0,0,1,1,0
T05,场景构建,LLM + Ontology/Rules Prompt,0,1,0,0,0,7,0,0,0,2,1,0
T05,场景构建,RAG-Agent + Ontology/Rules,0,1,0,0,0,0,0,0,0,6,1,0
T05,场景构建,Single-Agent + Validator,0,1,0,0,0,0,0,0,0,5,1,0
T05,场景构建,Multi-Agent + Shared Knowledge,0,1,0,0,10,7,0,0,0,6,1,0
T05,场景构建,Ours KAFarmTwin,30,0,0,0,30,0,0,0,0,0,0,0
T06,场景构建,Direct-LLM + Schema,1,0,0,0,15,7,0,0,0,1,1,0
T06,场景构建,LLM + Ontology/Rules Prompt,0,0,0,39,9,7,5,0,0,2,1,0
T06,场景构建,RAG-Agent + Ontology/Rules,0,2,0,0,12,7,0,0,0,5,1,0
T06,场景构建,Single-Agent + Validator,0,0,0,0,14,7,0,0,0,5,1,0
T06,场景构建,Multi-Agent + Shared Knowledge,0,2,0,0,14,0,0,0,0,6,1,0
T06,场景构建,Ours KAFarmTwin,32,0,0,2,38,2,0,0,0,0,0,0
T07,资产路由,Direct-LLM + Schema,0,24,0,0,0,21,0,0,0,1,1,0
T07,资产路由,LLM + Ontology/Rules Prompt,0,5,0,0,0,22,0,0,0,2,1,0
T07,资产路由,RAG-Agent + Ontology/Rules,0,6,0,0,0,1,0,0,0,5,1,0
T07,资产路由,Single-Agent + Validator,0,7,0,0,0,2,0,0,0,5,1,0
T07,资产路由,Multi-Agent + Shared Knowledge,0,24,0,0,0,1,0,0,0,6,1,0
T07,资产路由,Ours KAFarmTwin,16,0,0,6,6,8,0,0,0,0,0,0
T08,资产路由,Direct-LLM + Schema,80,0,0,0,102,85,0,1,0,1,1,0
T08,资产路由,LLM + Ontology/Rules Prompt,0,1,0,0,99,82,0,0,0,2,1,0
T08,资产路由,RAG-Agent + Ontology/Rules,75,0,0,0,97,84,0,0,0,6,1,0
T08,资产路由,Single-Agent + Validator,78,0,0,0,97,85,0,0,0,5,1,0
T08,资产路由,Multi-Agent + Shared Knowledge,80,0,0,0,93,85,0,0,0,6,1,0
T08,资产路由,Ours KAFarmTwin,82,0,0,4,91,82,0,0,0,0,0,0
T09,资产路由,Direct-LLM + Schema,10,0,0,0,20,15,0,1,0,1,1,0
T09,资产路由,LLM + Ontology/Rules Prompt,12,0,0,0,21,15,0,0,0,2,1,0
T09,资产路由,RAG-Agent + Ontology/Rules,11,0,0,0,20,15,0,1,0,5,1,0
T09,资产路由,Single-Agent + Validator,4,0,0,0,12,14,0,0,0,5,1,0
T09,资产路由,Multi-Agent + Shared Knowledge,12,0,0,0,21,12,0,0,0,6,1,0
T09,资产路由,Ours KAFarmTwin,14,0,0,0,16,13,0,0,0,0,0,0
T10,资产路由,Direct-LLM + Schema,6,0,1,6,12,9,3,0,0,1,1,0
T10,资产路由,LLM + Ontology/Rules Prompt,4,0,0,0,11,8,0,1,0,2,1,0
T10,资产路由,RAG-Agent + Ontology/Rules,4,0,0,0,11,7,0,1,0,6,1,0
T10,资产路由,Single-Agent + Validator,4,0,0,0,10,8,0,0,0,5,1,0
T10,资产路由,Multi-Agent + Shared Knowledge,3,0,0,0,10,11,0,0,0,6,1,0
T10,资产路由,Ours KAFarmTwin,8,0,0,0,8,4,0,0,0,0,0,0
T11,资产路由,Direct-LLM + Schema,2,0,0,1,12,10,0,0,0,1,1,0
T11,资产路由,LLM + Ontology/Rules Prompt,0,1,0,0,8,10,0,0,0,2,1,0
T11,资产路由,RAG-Agent + Ontology/Rules,6,0,0,0,15,9,0,0,0,6,1,0
T11,资产路由,Single-Agent + Validator,7,0,0,0,16,9,0,0,0,5,1,0
T11,资产路由,Multi-Agent + Shared Knowledge,2,0,0,0,11,10,0,0,0,6,1,0
T11,资产路由,Ours KAFarmTwin,4,0,0,4,0,0,0,0,0,0,0,0
T12,资产路由,Direct-LLM + Schema,0,4,0,0,5,9,0,0,0,1,1,0
T12,资产路由,LLM + Ontology/Rules Prompt,0,8,0,0,4,4,0,0,0,2,1,0
T12,资产路由,RAG-Agent + Ontology/Rules,0,8,0,5,0,3,0,0,0,7,1,0
T12,资产路由,Single-Agent + Validator,0,8,0,0,0,6,0,0,0,5,1,0
T12,资产路由,Multi-Agent + Shared Knowledge,0,5,0,0,6,3,0,0,0,7,1,0
T12,资产路由,Ours KAFarmTwin,8,0,0,4,7,10,0,0,0,0,0,0
T13,数据绑定,Direct-LLM + Schema,4,0,0,0,9,4,0,0,0,1,1,0
T13,数据绑定,LLM + Ontology/Rules Prompt,4,0,0,0,10,8,0,0,0,2,1,0
T13,数据绑定,RAG-Agent + Ontology/Rules,4,0,0,0,10,0,0,0,0,5,1,0
T13,数据绑定,Single-Agent + Validator,4,0,0,0,10,8,0,0,0,5,1,0
T13,数据绑定,Multi-Agent + Shared Knowledge,4,0,0,0,9,0,0,0,0,6,1,0
