task_id,method,category,cvsr,object_f1,critical_recall,relation_f1,binding_f1,repair_success,fatal_violation,evidence_precision,llm_calls,tool_calls,repair_rounds,tokens,cost_usd,latency_ms
TN01-v2-scene,SingleAgent-AllTools,scene,False,1.0000,1.0000,0.7273,0.0000,,True,1.0000,3,21,0,3601,0.000661,159397.7
TN01-v2-scene,SingleAgent-AllTools,scene,False,1.0000,1.0000,0.7273,0.0000,,False,1.0000,3,16,0,3393,0.000602,106136.8
TN01-v2-scene,SingleAgent-AllTools,scene,True,1.0000,1.0000,1.0000,0.0000,,False,1.0000,3,17,0,3169,0.000542,118875.6
TN01-v2-scene,SingleAgent-AllTools,scene,False,1.0000,1.0000,0.7273,0.0000,,True,1.0000,3,19,0,3162,0.000538,86546.8
TN01-v2-scene,SingleAgent-AllTools,scene,False,1.0000,1.0000,0.7273,0.0000,,False,1.0000,3,19,0,3186,0.000544,177943.6
TN01-v2-scene,ReAct-AllTools,scene,False,0.0000,1.0000,0.0000,0.0000,,False,0.0000,3,0,0,4124,0.000861,238339.0
TN01-v2-scene,ReAct-AllTools,scene,False,0.0000,1.0000,0.0000,0.0000,,False,0.0000,10,0,0,15249,0.003287,1237386.5
TN01-v2-scene,ReAct-AllTools,scene,False,0.0000,1.0000,0.0000,0.0000,,False,0.0000,10,0,0,14142,0.002975,560978.7
TN01-v2-scene,ReAct-AllTools,scene,False,0.0000,1.0000,0.0000,0.0000,,False,0.0000,10,0,0,14838,0.003165,502905.1
TN01-v2-scene,ReAct-AllTools,scene,False,0.0000,1.0000,0.0000,0.0000,,False,0.0000,10,0,0,14177,0.002980,567704.0
TN01-v2-scene,GenericMultiAgent-AllTools,scene,False,1.0000,1.0000,0.6667,0.0000,,False,1.0000,5,8,0,5675,0.001101,148117.1
TN01-v2-scene,GenericMultiAgent-AllTools,scene,False,0.9730,1.0000,0.6154,0.0000,,False,1.0000,5,9,0,5424,0.001030,156612.9
TN01-v2-scene,GenericMultiAgent-AllTools,scene,True,1.0000,1.0000,0.8333,0.0000,,False,1.0000,5,8,0,6594,0.001358,202120.6
TN01-v2-scene,GenericMultiAgent-AllTools,scene,False,1.0000,1.0000,0.7273,0.0000,,True,1.0000,5,7,0,5454,0.001039,221958.7
TN01-v2-scene,GenericMultiAgent-AllTools,scene,False,1.0000,1.0000,0.7273,0.0000,,False,1.0000,5,7,0,5291,0.000993,222247.0
TN01-v2-scene,GenericRepair-AllTools,scene,False,1.0000,1.0000,0.7273,0.0000,,False,1.0000,1,3,0,1423,0.000302,42649.9
TN01-v2-scene,GenericRepair-AllTools,scene,False,1.0000,1.0000,0.7273,0.0000,,False,1.0000,1,3,0,1250,0.000253,102375.7
TN01-v2-scene,GenericRepair-AllTools,scene,True,1.0000,1.0000,0.8333,0.0000,,False,1.0000,1,3,0,1503,0.000324,29269.9
TN01-v2-scene,GenericRepair-AllTools,scene,False,1.0000,1.0000,0.7273,0.0000,,False,1.0000,1,3,0,1350,0.000281,63387.3
TN01-v2-scene,GenericRepair-AllTools,scene,True,1.0000,1.0000,0.8333,0.0000,,False,1.0000,1,3,0,1494,0.000322,39656.7
TN01-v2-scene,KAFarmTwin-TypedRepair,scene,False,0.9730,1.0000,0.7273,0.0000,,False,1.0000,3,14,0,3404,0.000606,109232.0
TN01-v2-scene,KAFarmTwin-TypedRepair,scene,False,1.0000,1.0000,0.7273,0.0000,,False,1.0000,5,17,2,6706,0.001036,217662.1
TN01-v2-scene,KAFarmTwin-TypedRepair,scene,True,1.0000,1.0000,0.8333,0.0000,,False,1.0000,5,17,2,7164,0.001157,179809.4
TN01-v2-scene,KAFarmTwin-TypedRepair,scene,True,1.0000,1.0000,0.8333,0.0000,,False,1.0000,5,17,2,6893,0.001081,199222.9
TN01-v2-scene,KAFarmTwin-TypedRepair,scene,False,1.0000,1.0000,0.7273,0.0000,,False,1.0000,5,17,2,6710,0.001037,161915.7
TN02-v2-scene,SingleAgent-AllTools,scene,False,1.0000,1.0000,0.6667,0.0000,,False,1.0000,3,21,0,3730,0.000694,119870.8
TN02-v2-scene,SingleAgent-AllTools,scene,True,1.0000,1.0000,1.0000,0.0000,,False,1.0000,3,12,0,3523,0.000641,58099.9
TN02-v2-scene,SingleAgent-AllTools,scene,True,1.0000,1.0000,1.0000,0.0000,,False,1.0000,3,17,0,3199,0.000550,83080.2
TN02-v2-scene,SingleAgent-AllTools,scene,True,1.0000,1.0000,0.7143,0.0000,,False,1.0000,3,21,0,3619,0.000663,152271.6
TN02-v2-scene,SingleAgent-AllTools,scene,False,1.0000,1.0000,0.7143,0.0000,,True,1.0000,3,17,0,3483,0.000625,118018.5
TN02-v2-scene,ReAct-AllTools,scene,False,0.0000,1.0000,0.0000,0.0000,,False,0.0000,10,0,0,14041,0.002941,799059.3
TN02-v2-scene,ReAct-AllTools,scene,False,0.0000,1.0000,0.0000,0.0000,,False,0.0000,10,0,0,15171,0.003258,494047.2
TN02-v2-scene,ReAct-AllTools,scene,False,0.0000,1.0000,0.0000,0.0000,,False,0.0000,10,0,0,15953,0.003476,439946.6
TN02-v2-scene,ReAct-AllTools,scene,False,0.0000,1.0000,0.0000,0.0000,,False,0.0000,10,0,0,15371,0.003313,382922.8
TN02-v2-scene,ReAct-AllTools,scene,False,0.0000,1.0000,0.0000,0.0000,,False,0.0000,10,0,0,15210,0.003268,356662.1
TN02-v2-scene,GenericMultiAgent-AllTools,scene,False,1.0000,1.0000,0.6667,0.0000,,False,1.0000,5,8,0,5819,0.001140,190046.8
TN02-v2-scene,GenericMultiAgent-AllTools,scene,True,1.0000,1.0000,0.7143,0.0000,,False,1.0000,5,10,0,5452,0.001037,124031.0
TN02-v2-scene,GenericMultiAgent-AllTools,scene,False,1.0000,1.0000,0.6667,0.0000,,False,1.0000,5,8,0,5587,0.001075,197697.1
TN02-v2-scene,GenericMultiAgent-AllTools,scene,True,1.0000,1.0000,0.7143,0.0000,,False,1.0000,5,10,0,6286,0.001271,134985.0
TN02-v2-scene,GenericMultiAgent-AllTools,scene,True,1.0000,1.0000,0.7143,0.0000,,False,1.0000,5,10,0,6086,0.001215,282195.3
TN02-v2-scene,GenericRepair-AllTools,scene,False,1.0000,1.0000,0.6667,0.0000,,False,1.0000,1,3,0,1385,0.000291,37945.2
TN02-v2-scene,GenericRepair-AllTools,scene,False,1.0000,1.0000,0.6667,0.0000,,False,1.0000,2,3,1,3271,0.000660,46069.4
TN02-v2-scene,GenericRepair-AllTools,scene,True,1.0000,1.0000,0.7143,0.0000,,False,1.0000,1,3,0,1708,0.000382,53783.2
TN02-v2-scene,GenericRepair-AllTools,scene,True,1.0000,1.0000,0.7143,0.0000,,False,1.0000,1,3,0,1662,0.000369,26026.8
TN02-v2-scene,GenericRepair-AllTools,scene,False,1.0000,1.0000,0.6667,0.0000,,False,1.0000,1,3,0,1489,0.000320,16711.5
TN02-v2-scene,KAFarmTwin-TypedRepair,scene,True,1.0000,1.0000,1.0000,0.0000,,False,1.0000,3,9,0,3645,0.000675,64739.1
TN02-v2-scene,KAFarmTwin-TypedRepair,scene,True,1.0000,1.0000,0.7143,0.0000,,False,1.0000,5,11,2,7100,0.001144,28536.1
TN02-v2-scene,KAFarmTwin-TypedRepair,scene,False,1.0000,1.0000,0.6667,0.0000,,False,1.0000,3,12,0,3184,0.000542,109947.1
TN02-v2-scene,KAFarmTwin-TypedRepair,scene,True,1.0000,1.0000,1.0000,0.0000,,False,1.0000,3,9,0,3189,0.000547,71568.4
TN02-v2-scene,KAFarmTwin-TypedRepair,scene,False,1.0000,1.0000,0.6667,0.0000,,False,1.0000,3,16,0,3352,0.000588,40871.9
TN03-v2-scene,SingleAgent-AllTools,scene,False,0.9825,1.0000,0.5333,0.0000,,False,1.0000,3,25,0,3510,0.000629,53467.6
TN03-v2-scene,SingleAgent-AllTools,scene,True,1.0000,1.0000,0.7143,0.0000,,False,1.0000,3,21,0,3642,0.000668,70534.3
TN03-v2-scene,SingleAgent-AllTools,scene,False,1.0000,1.0000,0.6667,0.0000,,False,1.0000,3,22,0,3692,0.000682,59043.4
TN03-v2-scene,SingleAgent-AllTools,scene,False,1.0000,1.0000,0.6667,0.0000,,False,1.0000,3,21,0,3470,0.000619,67730.4
TN03-v2-scene,SingleAgent-AllTools,scene,True,1.0000,1.0000,0.7143,0.0000,,False,1.0000,3,24,0,3425,0.000607,67701.5
TN03-v2-scene,ReAct-AllTools,scene,False,0.0000,1.0000,0.0000,0.0000,,False,0.0000,10,0,0,16017,0.003496,308246.3
TN03-v2-scene,ReAct-AllTools,scene,False,0.0000,1.0000,0.0000,0.0000,,False,0.0000,10,0,0,17027,0.003783,277914.6
TN03-v2-scene,ReAct-AllTools,scene,False,0.0000,1.0000,0.0000,0.0000,,False,0.0000,10,0,0,17160,0.003818,311055.1
TN03-v2-scene,ReAct-AllTools,scene,False,0.0000,1.0000,0.0000,0.0000,,False,0.0000,10,0,0,13441,0.002769,259674.4
TN03-v2-scene,ReAct-AllTools,scene,False,0.0000,1.0000,0.0000,0.0000,,False,0.0000,10,0,0,16385,0.003595,251823.3
TN03-v2-scene,GenericMultiAgent-AllTools,scene,False,0.9825,1.0000,0.5333,0.0000,,False,1.0000,5,11,0,5850,0.001146,37209.7
TN03-v2-scene,GenericMultiAgent-AllTools,scene,False,1.0000,1.0000,0.5714,0.0000,,False,1.0000,5,10,0,5835,0.001142,43070.4
TN03-v2-scene,GenericMultiAgent-AllTools,scene,True,1.0000,1.0000,0.7143,0.0000,,False,1.0000,5,10,0,5763,0.001122,104172.8
TN03-v2-scene,GenericMultiAgent-AllTools,scene,False,1.0000,1.0000,0.6667,0.0000,,True,1.0000,5,8,0,5306,0.000994,37221.8
TN03-v2-scene,GenericMultiAgent-AllTools,scene,False,1.0000,1.0000,0.7143,0.0000,,True,1.0000,5,10,0,6187,0.001240,114440.8
TN03-v2-scene,GenericRepair-AllTools,scene,False,1.0000,1.0000,0.6667,0.0000,,False,1.0000,1,3,0,1385,0.000291,24261.8
TN03-v2-scene,GenericRepair-AllTools,scene,False,1.0000,1.0000,0.5714,0.0000,,False,1.0000,1,3,0,1533,0.000332,10085.6
TN03-v2-scene,GenericRepair-AllTools,scene,True,1.0000,1.0000,0.7143,0.0000,,False,1.0000,1,3,0,1646,0.000364,17438.1
TN03-v2-scene,GenericRepair-AllTools,scene,False,1.0000,1.0000,0.5714,0.0000,,False,1.0000,1,3,0,1712,0.000382,27037.5
TN03-v2-scene,GenericRepair-AllTools,scene,False,1.0000,1.0000,0.6667,0.0000,,False,1.0000,1,3,0,1348,0.000280,11972.2
TN03-v2-scene,KAFarmTwin-TypedRepair,scene,False,1.0000,1.0000,0.6667,0.0000,,False,1.0000,3,12,0,3283,0.000567,33755.4
TN03-v2-scene,KAFarmTwin-TypedRepair,scene,True,1.0000,1.0000,0.7143,0.0000,,False,1.0000,3,16,0,3515,0.000632,24220.5
TN03-v2-scene,KAFarmTwin-TypedRepair,scene,False,1.0000,1.0000,0.6667,0.0000,,False,1.0000,3,18,0,3492,0.000626,20907.9
TN03-v2-scene,KAFarmTwin-TypedRepair,scene,False,0.9825,1.0000,0.5333,0.0000,,False,1.0000,6,12,3,8721,0.001322,70986.3
TN03-v2-scene,KAFarmTwin-TypedRepair,scene,False,0.9825,1.0000,0.5333,0.0000,,False,1.0000,3,19,0,3506,0.000628,42243.1
TN04-v2-scene,SingleAgent-AllTools,scene,False,0.9697,1.0000,0.6154,0.0000,,True,1.0000,3,14,0,3083,0.000514,28459.7
TN04-v2-scene,SingleAgent-AllTools,scene,False,0.9697,1.0000,0.6154,0.0000,,False,1.0000,3,14,0,3107,0.000521,14713.6
TN04-v2-scene,SingleAgent-AllTools,scene,True,1.0000,1.0000,0.8333,0.0000,,False,1.0000,3,16,0,3218,0.000552,22320.9
TN04-v2-scene,SingleAgent-AllTools,scene,True,1.0000,1.0000,0.8333,0.0000,,False,1.0000,3,13,0,3144,0.000533,13745.2
TN04-v2-scene,SingleAgent-AllTools,scene,False,1.0000,1.0000,0.7273,0.0000,,False,1.0000,3,13,0,3657,0.000676,57751.6
TN04-v2-scene,ReAct-AllTools,scene,False,0.0000,1.0000,0.0000,0.0000,,False,0.0000,10,0,0,14311,0.003018,139189.4
TN04-v2-scene,ReAct-AllTools,scene,False,0.0000,1.0000,0.0000,0.0000,,False,0.0000,2,0,0,2641,0.000545,25790.7
TN04-v2-scene,ReAct-AllTools,scene,False,0.0000,1.0000,0.0000,0.0000,,False,0.0000,10,0,0,14364,0.003033,165961.9
TN04-v2-scene,ReAct-AllTools,scene,False,0.0000,1.0000,0.0000,0.0000,,False,0.0000,10,0,0,14825,0.003162,159784.9
