binding_f1,cost,critical_recall,cvsr,difficulty,evaluator_hash,evaluator_version,evidence_precision,latency_ms,llm_calls,method,object_f1,relation_f1,replay_success,task_id,task_type,technical_failure,tokens
0.0,0.0,1.0,True,hard,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,2.6,0,KAFarmTwin-TypedRepair,0.0,0.0,0.0,EXT-MQ-047,memory_query,False,0
0.0,0.0,1.0,True,hard,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,2.1,0,SingleAgent-AllTools,0.0,0.0,0.0,EXT-MQ-047,memory_query,False,0
1.0,0.00019026,1.0,True,easy,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,6864.2,1,SingleAgent-AllTools,1.0,1.0,0.0,EXT-DB-003,data_binding,False,1145
1.0,0.00039886,1.0,True,easy,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,11388.7,2,KAFarmTwin-TypedRepair,1.0,1.0,1.0,EXT-DB-003,data_binding,False,2627
1.0,0.00034398,1.0,False,easy,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,55036.2,2,KAFarmTwin-TypedRepair,0.1515,1.0,1.0,EXT-AR-013,asset_routing,False,2282
0.0,0.0006657,1.0,False,easy,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,45410.8,3,SingleAgent-AllTools,0.0303,0.75,0.8571,EXT-AR-013,asset_routing,False,3668
0.0,0.00062454,1.0,False,medium,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,35240.4,3,SingleAgent-AllTools,1.0,0.8,0.5714,EXT-SC-031,scene_construction,False,3546
0.0,0.0006550600000000001,1.0,True,medium,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,37389.8,3,KAFarmTwin-TypedRepair,1.0,1.0,1.0,EXT-SC-031,scene_construction,False,3655
1.0,0.0006874,1.0,True,hard,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,23020.3,2,KAFarmTwin-TypedRepair,1.0,1.0,1.0,EXT-DB-048,data_binding,False,4213
1.0,0.00034482,1.0,True,hard,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,17473.9,1,SingleAgent-AllTools,1.0,1.0,0.0,EXT-DB-048,data_binding,False,1774
0.0,0.0,1.0,False,easy,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,0.0,0,SingleAgent-AllTools,1.0,0.0,1.0,EXT-RR-011,rule_repair,False,0
1.0,0.00017416,1.0,True,easy,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,825.6,1,KAFarmTwin-TypedRepair,1.0,1.0,1.0,EXT-RR-011,rule_repair,False,1236
1.0,0.00068572,1.0,True,hard,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,24908.5,2,KAFarmTwin-TypedRepair,1.0,1.0,1.0,EXT-DB-052,data_binding,False,4204
1.0,0.0003437,1.0,True,hard,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,19876.3,1,SingleAgent-AllTools,1.0,1.0,0.0,EXT-DB-052,data_binding,False,1769
0.0,0.0,1.0,False,hard,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,0.0,0,SingleAgent-AllTools,1.0,0.0,1.0,EXT-RR-058,rule_repair,False,0
1.0,0.00021238,1.0,True,hard,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,4634.1,1,KAFarmTwin-TypedRepair,1.0,1.0,1.0,EXT-RR-058,rule_repair,False,1509
1.0,0.00039298,1.0,True,easy,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,12234.9,2,KAFarmTwin-TypedRepair,1.0,1.0,1.0,EXT-DB-006,data_binding,False,2592
1.0,0.00018718,1.0,True,easy,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,7314.9,1,SingleAgent-AllTools,1.0,1.0,0.0,EXT-DB-006,data_binding,False,1130
0.0,0.00063322,1.0,False,medium,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,54077.6,3,SingleAgent-AllTools,1.0,0.8,0.5714,EXT-SC-034,scene_construction,False,3576
0.0,0.0006601,1.0,False,medium,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,39320.4,3,KAFarmTwin-TypedRepair,1.0,0.8,1.0,EXT-SC-034,scene_construction,False,3669
