task_id,category,object_p,object_r,object_f1,relation_f1,binding_f1,fatal_violations,nonfatal_violations,first_failed,cvsr,evidence_precision,replay_success,llm_calls,tokens
EXT-RR-001,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R6,,all_bindings,False,0.0,0.0,1,654
EXT-RR-002,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R6,,all_bindings,False,0.0,0.0,1,601
EXT-RR-003,A_SEMANTICALLY_COMPLETE_EVIDENCE_FAIL,1.0,1.0,1.0,1.0,1.0,,,evidence_ok,False,0.0,0.0,1,800
EXT-RR-004,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,,,all_bindings,False,0.0,0.0,1,834
EXT-RR-005,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R6,R3|R3,all_bindings,False,0.0,0.0,1,518
EXT-RR-006,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R6,,all_bindings,False,0.0,0.0,1,601
EXT-RR-007,A_SEMANTICALLY_COMPLETE_EVIDENCE_FAIL,1.0,1.0,1.0,1.0,1.0,,,evidence_ok,False,0.0,0.0,1,817
EXT-RR-008,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R2,R3|R3,all_bindings,False,0.0,0.0,1,695
EXT-RR-009,A_SEMANTICALLY_COMPLETE_EVIDENCE_FAIL,1.0,1.0,1.0,1.0,1.0,,,evidence_ok,False,0.0,0.0,1,720
EXT-RR-010,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R6,,all_bindings,False,0.0,0.0,1,601
EXT-RR-011,A_SEMANTICALLY_COMPLETE_EVIDENCE_FAIL,1.0,1.0,1.0,1.0,1.0,,,evidence_ok,False,0.0,0.0,1,796
EXT-RR-012,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R2,R3|R3,all_bindings,False,0.0,0.0,1,695
EXT-RR-013,C_LLM_OMITS_BINDINGS,1.0,1.0,1.0,1.0,0.0,R6,R3|R3,all_bindings,False,0.0,0.0,1,518
