binding_f1,cost,critical_recall,cvsr,difficulty,evaluator_hash,evaluator_version,evidence_precision,latency_ms,llm_calls,method,object_f1,relation_f1,replay_success,task_id,task_type,technical_failure,tokens
0.0,0.0,1.0,True,hard,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,1.6,0,KAFarmTwin-TypedRepair,0.0,0.0,0.0,EXT-MQ-047,memory_query,False,0
0.0,0.0,1.0,True,hard,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,1.2,0,SingleAgent-AllTools,0.0,0.0,0.0,EXT-MQ-047,memory_query,False,0
0.5,0.00038906,1.0,False,easy,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,201998.1,1,SingleAgent-AllTools,1.0,1.0,0.0,EXT-DB-003,data_binding,False,1814
0.5,0.000581,1.0,False,easy,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,21539.6,2,KAFarmTwin-TypedRepair,1.0,1.0,1.0,EXT-DB-003,data_binding,False,3176
1.0,0.0005145,1.0,False,easy,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,17659.4,2,KAFarmTwin-TypedRepair,0.1515,1.0,1.0,EXT-AR-013,asset_routing,False,2874
0.0,0.00120022,1.0,False,easy,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,74238.4,3,SingleAgent-AllTools,0.0308,0.0,0.8333,EXT-AR-013,asset_routing,False,5466
0.0,0.00095298,1.0,False,medium,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,53903.7,3,SingleAgent-AllTools,0.2373,0.7273,0.625,EXT-SC-031,scene_construction,False,4617
0.0,0.0010297000000000001,1.0,False,medium,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,58488.7,3,KAFarmTwin-TypedRepair,0.2373,0.7273,1.0,EXT-SC-031,scene_construction,False,4885
0.6667,0.00078022,1.0,False,hard,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,28129.2,2,KAFarmTwin-TypedRepair,1.0,1.0,1.0,EXT-DB-048,data_binding,False,4378
0.6667,0.0003878,1.0,False,hard,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,18284.9,1,SingleAgent-AllTools,1.0,1.0,0.0,EXT-DB-048,data_binding,False,1872
