task_id,method,cvsr,object_f1,relation_f1,binding_f1,critical_recall,replay_success,evidence_precision,fatal_violations,nonfatal_violations,failure_pattern,failure_detail,llm_calls,tokens
EXT-AR-013,KAFarmTwin-TypedRepair,False,0.1515,1.0,1.0,1.0,1.0,1.0,0,0,A_NAMING_MISMATCH,"low obj=0.151, decent rel=1.000 — naming diverges",2,2285
EXT-AR-028,KAFarmTwin-TypedRepair,False,0.4211,0.75,1.0,1.0,1.0,1.0,0,0,C_PARTIAL_NAMING,"mid obj=0.421, decent rel=0.750 — partial overlap",2,2526
EXT-AR-048,KAFarmTwin-TypedRepair,False,0.1176,0.6,1.0,1.0,1.0,1.0,0,0,A_NAMING_MISMATCH,"low obj=0.118, decent rel=0.600 — naming diverges",2,2805
EXT-AR-009,KAFarmTwin-TypedRepair,False,0.3043,1.0,1.0,1.0,1.0,1.0,0,0,C_PARTIAL_NAMING,"mid obj=0.304, decent rel=1.000 — partial overlap",2,2274
EXT-AR-019,KAFarmTwin-TypedRepair,False,0.1613,0.75,1.0,1.0,1.0,1.0,0,0,A_NAMING_MISMATCH,"low obj=0.161, decent rel=0.750 — naming diverges",2,2553
EXT-AR-040,KAFarmTwin-TypedRepair,False,0.9706,0.75,1.0,1.0,1.0,1.0,0,0,E_UNCLASSIFIED,"obj=0.971, rel=0.750, bind=1.000",2,2556
EXT-AR-002,KAFarmTwin-TypedRepair,False,0.2727,1.0,1.0,1.0,1.0,1.0,0,0,A_NAMING_MISMATCH,"low obj=0.273, decent rel=1.000 — naming diverges",2,2253
EXT-AR-059,KAFarmTwin-TypedRepair,False,0.3548,0.8333,0.6667,1.0,1.0,1.0,0,0,C_PARTIAL_NAMING,"mid obj=0.355, decent rel=0.833 — partial overlap",2,3426
EXT-AR-021,KAFarmTwin-TypedRepair,False,0.3889,0.75,1.0,1.0,1.0,1.0,0,0,C_PARTIAL_NAMING,"mid obj=0.389, decent rel=0.750 — partial overlap",2,2553
EXT-AR-041,KAFarmTwin-TypedRepair,False,0.2368,0.75,1.0,1.0,1.0,1.0,0,0,A_NAMING_MISMATCH,"low obj=0.237, decent rel=0.750 — naming diverges",2,2544
EXT-AR-008,KAFarmTwin-TypedRepair,True,1.0,1.0,1.0,1.0,1.0,1.0,0,0,PASS,CVSR=True,2,2294
EXT-AR-045,KAFarmTwin-TypedRepair,False,0.963,0.75,1.0,1.0,1.0,1.0,0,0,E_UNCLASSIFIED,"obj=0.963, rel=0.750, bind=1.000",2,2566
EXT-AR-054,KAFarmTwin-TypedRepair,False,0.129,0.6,1.0,1.0,1.0,1.0,0,0,A_NAMING_MISMATCH,"low obj=0.129, decent rel=0.600 — naming diverges",2,2769
EXT-AR-052,KAFarmTwin-TypedRepair,False,0.2759,0.6,1.0,1.0,1.0,1.0,0,0,A_NAMING_MISMATCH,"low obj=0.276, decent rel=0.600 — naming diverges",2,2765
EXT-AR-016,KAFarmTwin-TypedRepair,False,0.32,0.75,1.0,1.0,1.0,1.0,0,0,C_PARTIAL_NAMING,"mid obj=0.320, decent rel=0.750 — partial overlap",2,2512
EXT-AR-060,KAFarmTwin-TypedRepair,False,0.9286,0.6,1.0,1.0,1.0,1.0,0,0,D_EDGE_BINDING_DETAIL,decent obj=0.929 but rel=0.600/bind=1.000 weak,2,2819
EXT-AR-030,KAFarmTwin-TypedRepair,False,0.9524,0.75,1.0,1.0,1.0,1.0,0,0,E_UNCLASSIFIED,"obj=0.952, rel=0.750, bind=1.000",2,2574
EXT-AR-005,KAFarmTwin-TypedRepair,True,1.0,1.0,1.0,1.0,1.0,1.0,0,0,PASS,CVSR=True,2,2263
EXT-AR-007,KAFarmTwin-TypedRepair,False,1.0,1.0,0.5,1.0,1.0,1.0,0,0,D_EDGE_BINDING_DETAIL,decent obj=1.000 but rel=1.000/bind=0.500 weak,2,2283
EXT-AR-022,KAFarmTwin-TypedRepair,False,0.3636,0.75,1.0,1.0,1.0,1.0,0,0,C_PARTIAL_NAMING,"mid obj=0.364, decent rel=0.750 — partial overlap",2,2511
EXT-AR-025,KAFarmTwin-TypedRepair,False,0.1786,0.75,1.0,1.0,1.0,1.0,0,0,A_NAMING_MISMATCH,"low obj=0.179, decent rel=0.750 — naming diverges",2,2534
EXT-AR-027,KAFarmTwin-TypedRepair,False,0.1944,0.75,1.0,1.0,1.0,1.0,0,0,A_NAMING_MISMATCH,"low obj=0.194, decent rel=0.750 — naming diverges",2,2532
EXT-AR-053,KAFarmTwin-TypedRepair,False,0.2727,0.6,1.0,1.0,1.0,1.0,0,0,A_NAMING_MISMATCH,"low obj=0.273, decent rel=0.600 — naming diverges",2,2787
EXT-AR-039,KAFarmTwin-TypedRepair,False,0.2333,0.75,1.0,1.0,1.0,1.0,0,0,A_NAMING_MISMATCH,"low obj=0.233, decent rel=0.750 — naming diverges",2,2622
EXT-AR-035,KAFarmTwin-TypedRepair,False,0.95,0.75,1.0,1.0,1.0,1.0,0,0,E_UNCLASSIFIED,"obj=0.950, rel=0.750, bind=1.000",2,2560
EXT-AR-056,KAFarmTwin-TypedRepair,False,0.3333,0.6,1.0,1.0,1.0,1.0,0,0,C_PARTIAL_NAMING,"mid obj=0.333, decent rel=0.600 — partial overlap",2,2780
EXT-AR-036,KAFarmTwin-TypedRepair,False,0.2222,0.75,1.0,1.0,1.0,1.0,0,0,A_NAMING_MISMATCH,"low obj=0.222, decent rel=0.750 — naming diverges",2,2529
EXT-AR-051,KAFarmTwin-TypedRepair,False,0.28,0.6,1.0,1.0,1.0,1.0,0,0,A_NAMING_MISMATCH,"low obj=0.280, decent rel=0.600 — naming diverges",2,2759
EXT-AR-001,KAFarmTwin-TypedRepair,False,0.2778,1.0,1.0,1.0,1.0,1.0,0,0,A_NAMING_MISMATCH,"low obj=0.278, decent rel=1.000 — naming diverges",2,2266
EXT-AR-018,KAFarmTwin-TypedRepair,False,0.1481,0.75,1.0,1.0,1.0,1.0,0,0,A_NAMING_MISMATCH,"low obj=0.148, decent rel=0.750 — naming diverges",2,2523
EXT-AR-042,KAFarmTwin-TypedRepair,False,0.2667,0.75,1.0,1.0,1.0,1.0,0,0,A_NAMING_MISMATCH,"low obj=0.267, decent rel=0.750 — naming diverges",2,2532
EXT-AR-004,KAFarmTwin-TypedRepair,False,0.2667,1.0,1.0,1.0,1.0,1.0,0,0,A_NAMING_MISMATCH,"low obj=0.267, decent rel=1.000 — naming diverges",2,2263
EXT-AR-043,KAFarmTwin-TypedRepair,False,0.2632,0.75,1.0,1.0,1.0,1.0,0,0,A_NAMING_MISMATCH,"low obj=0.263, decent rel=0.750 — naming diverges",2,2540
EXT-AR-026,KAFarmTwin-TypedRepair,False,0.1875,0.75,1.0,1.0,1.0,1.0,0,0,A_NAMING_MISMATCH,"low obj=0.188, decent rel=0.750 — naming diverges",2,2549
EXT-AR-050,KAFarmTwin-TypedRepair,True,0.9545,0.8333,0.6667,1.0,1.0,1.0,0,0,PASS,CVSR=True,2,3298
EXT-AR-046,KAFarmTwin-TypedRepair,False,0.25,0.6,1.0,1.0,1.0,1.0,0,0,A_NAMING_MISMATCH,"low obj=0.250, decent rel=0.600 — naming diverges",2,2795
EXT-AR-057,KAFarmTwin-TypedRepair,False,0.3182,0.6,1.0,1.0,1.0,1.0,0,0,C_PARTIAL_NAMING,"mid obj=0.318, decent rel=0.600 — partial overlap",2,2787
EXT-AR-015,KAFarmTwin-TypedRepair,True,1.0,1.0,1.0,1.0,1.0,1.0,0,0,PASS,CVSR=True,2,2293
EXT-AR-024,KAFarmTwin-TypedRepair,False,0.1667,0.75,1.0,1.0,1.0,1.0,0,0,A_NAMING_MISMATCH,"low obj=0.167, decent rel=0.750 — naming diverges",2,2542
EXT-AR-049,KAFarmTwin-TypedRepair,False,0.8824,0.6,1.0,1.0,1.0,1.0,0,0,D_EDGE_BINDING_DETAIL,decent obj=0.882 but rel=0.600/bind=1.000 weak,2,2813
EXT-AR-020,KAFarmTwin-TypedRepair,False,0.9714,0.75,1.0,1.0,1.0,1.0,0,0,E_UNCLASSIFIED,"obj=0.971, rel=0.750, bind=1.000",2,2565
EXT-AR-010,KAFarmTwin-TypedRepair,True,1.0,1.0,1.0,1.0,1.0,1.0,0,0,PASS,CVSR=True,2,2298
EXT-AR-003,KAFarmTwin-TypedRepair,False,0.2692,1.0,1.0,1.0,1.0,1.0,0,0,A_NAMING_MISMATCH,"low obj=0.269, decent rel=1.000 — naming diverges",2,2254
EXT-AR-023,KAFarmTwin-TypedRepair,False,0.3462,0.75,1.0,1.0,1.0,1.0,0,0,C_PARTIAL_NAMING,"mid obj=0.346, decent rel=0.750 — partial overlap",2,2536
EXT-AR-033,KAFarmTwin-TypedRepair,False,0.2121,0.75,1.0,1.0,1.0,1.0,0,0,A_NAMING_MISMATCH,"low obj=0.212, decent rel=0.750 — naming diverges",2,2560
EXT-AR-006,KAFarmTwin-TypedRepair,False,0.125,1.0,1.0,1.0,1.0,1.0,0,0,A_NAMING_MISMATCH,"low obj=0.125, decent rel=1.000 — naming diverges",2,2283
EXT-AR-011,KAFarmTwin-TypedRepair,False,0.2903,1.0,1.0,1.0,1.0,1.0,0,0,A_NAMING_MISMATCH,"low obj=0.290, decent rel=1.000 — naming diverges",2,2278
EXT-AR-034,KAFarmTwin-TypedRepair,False,0.2162,0.75,1.0,1.0,1.0,1.0,0,0,A_NAMING_MISMATCH,"low obj=0.216, decent rel=0.750 — naming diverges",2,2526
EXT-AR-038,KAFarmTwin-TypedRepair,False,0.2308,0.75,1.0,1.0,1.0,1.0,0,0,A_NAMING_MISMATCH,"low obj=0.231, decent rel=0.750 — naming diverges",2,2536
EXT-AR-031,KAFarmTwin-TypedRepair,False,0.2,0.75,1.0,1.0,1.0,1.0,0,0,A_NAMING_MISMATCH,"low obj=0.200, decent rel=0.750 — naming diverges",2,2536
EXT-AR-029,KAFarmTwin-TypedRepair,False,0.3913,0.75,1.0,1.0,1.0,1.0,0,0,C_PARTIAL_NAMING,"mid obj=0.391, decent rel=0.750 — partial overlap",2,2548
EXT-AR-047,KAFarmTwin-TypedRepair,False,0.25,0.6,1.0,1.0,1.0,1.0,0,0,A_NAMING_MISMATCH,"low obj=0.250, decent rel=0.600 — naming diverges",2,2764
EXT-AR-032,KAFarmTwin-TypedRepair,False,0.9655,0.75,0.6667,1.0,1.0,1.0,0,0,D_EDGE_BINDING_DETAIL,decent obj=0.966 but rel=0.750/bind=0.667 weak,2,2550
EXT-AR-044,KAFarmTwin-TypedRepair,False,0.2609,0.75,1.0,1.0,1.0,1.0,0,0,A_NAMING_MISMATCH,"low obj=0.261, decent rel=0.750 — naming diverges",2,2553
EXT-AR-014,KAFarmTwin-TypedRepair,False,0.375,1.0,1.0,1.0,1.0,1.0,0,0,C_PARTIAL_NAMING,"mid obj=0.375, decent rel=1.000 — partial overlap",2,2258
EXT-AR-037,KAFarmTwin-TypedRepair,False,0.2273,0.75,1.0,1.0,1.0,1.0,0,0,A_NAMING_MISMATCH,"low obj=0.227, decent rel=0.750 — naming diverges",2,2514
