binding_f1,cost,critical_recall,cvsr,difficulty,evaluator_hash,evaluator_version,evidence_precision,latency_ms,llm_calls,method,object_f1,relation_f1,replay_success,task_id,task_type,technical_failure,tokens
0.0,0.0,1.0,True,hard,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,2.7,0,KAFarmTwin-TypedRepair,0.0,0.0,0.0,EXT-MQ-047,memory_query,False,0
0.0,0.0,1.0,True,hard,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,2.1,0,SingleAgent-AllTools,0.0,0.0,0.0,EXT-MQ-047,memory_query,False,0
1.0,0.0001701,1.0,True,easy,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,3998.0,1,SingleAgent-AllTools,1.0,1.0,0.0,EXT-DB-003,data_binding,False,1049
1.0,0.00036861999999999995,1.0,True,easy,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,6012.0,2,KAFarmTwin-TypedRepair,1.0,1.0,1.0,EXT-DB-003,data_binding,False,2460
1.0,0.00033025999999999997,1.0,True,easy,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,4152.2,2,KAFarmTwin-TypedRepair,1.0,1.0,1.0,EXT-AR-013,asset_routing,False,2206
0.0,0.00087038,1.0,False,easy,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,36872.1,3,SingleAgent-AllTools,0.0571,0.1667,0.7273,EXT-AR-013,asset_routing,False,4361
0.0,0.00064372,1.0,False,medium,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,19742.0,3,SingleAgent-AllTools,1.0,0.6667,0.6667,EXT-SC-031,scene_construction,False,3569
0.0,0.0007694399999999999,1.0,True,medium,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,30676.1,3,KAFarmTwin-TypedRepair,1.0,1.0,1.0,EXT-SC-031,scene_construction,False,3996
0.6667,0.00060508,1.0,False,hard,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,10497.5,2,KAFarmTwin-TypedRepair,1.0,1.0,1.0,EXT-DB-048,data_binding,False,3806
0.6667,0.00023898,1.0,False,hard,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,6297.9,1,SingleAgent-AllTools,1.0,1.0,0.0,EXT-DB-048,data_binding,False,1362
0.0,0.0,1.0,False,easy,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,0.0,0,SingleAgent-AllTools,1.0,0.0,1.0,EXT-RR-011,rule_repair,False,0
1.0,0.00016744,1.0,True,easy,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,1016.5,1,KAFarmTwin-TypedRepair,1.0,1.0,1.0,EXT-RR-011,rule_repair,False,1189
0.6667,0.00055664,1.0,False,hard,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,7418.3,2,KAFarmTwin-TypedRepair,1.0,1.0,1.0,EXT-DB-052,data_binding,False,3627
1.0,0.00024234,1.0,True,hard,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,7285.6,1,SingleAgent-AllTools,1.0,1.0,0.0,EXT-DB-052,data_binding,False,1373
0.0,0.0,1.0,False,hard,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,0.1,0,SingleAgent-AllTools,1.0,0.0,1.0,EXT-RR-058,rule_repair,False,0
1.0,0.00020398,1.0,True,hard,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,1180.9,1,KAFarmTwin-TypedRepair,1.0,1.0,1.0,EXT-RR-058,rule_repair,False,1450
1.0,0.00036302000000000003,1.0,True,easy,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,4957.9,2,KAFarmTwin-TypedRepair,1.0,1.0,1.0,EXT-DB-006,data_binding,False,2427
1.0,0.0001673,1.0,True,easy,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,3869.4,1,SingleAgent-AllTools,1.0,1.0,0.0,EXT-DB-006,data_binding,False,1036
0.0,0.0006694800000000001,1.0,True,medium,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,20979.9,3,SingleAgent-AllTools,1.0,0.7143,0.7273,EXT-SC-034,scene_construction,False,3677
0.0,0.00066304,1.0,True,medium,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,22642.2,3,KAFarmTwin-TypedRepair,1.0,0.7143,1.0,EXT-SC-034,scene_construction,False,3654
1.0,0.00018368,1.0,True,medium,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,1123.3,1,KAFarmTwin-TypedRepair,1.0,1.0,1.0,EXT-RR-031,rule_repair,False,1305
0.0,0.0,1.0,False,medium,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,0.0,0,SingleAgent-AllTools,1.0,0.0,1.0,EXT-RR-031,rule_repair,False,0
0.0,0.0,1.0,True,medium,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,2.0,0,SingleAgent-AllTools,0.0,0.0,0.0,EXT-MQ-018,memory_query,False,0
0.0,0.0,1.0,True,medium,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,1.6,0,KAFarmTwin-TypedRepair,0.0,0.0,0.0,EXT-MQ-018,memory_query,False,0
0.8571,0.00037688,1.0,False,medium,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,4920.2,2,KAFarmTwin-TypedRepair,0.4211,0.75,1.0,EXT-AR-028,asset_routing,False,2512
0.0,0.00098924,1.0,False,medium,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,41530.7,3,SingleAgent-AllTools,0.1395,0.3333,0.875,EXT-AR-028,asset_routing,False,4877
0.75,0.00021154,1.0,False,medium,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,6009.5,1,SingleAgent-AllTools,1.0,1.0,0.0,EXT-DB-043,data_binding,False,1232
1.0,0.0004676,1.0,True,medium,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,7002.1,2,KAFarmTwin-TypedRepair,1.0,1.0,1.0,EXT-DB-043,data_binding,False,3043
1.0,0.00056644,1.0,True,hard,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,9769.3,2,KAFarmTwin-TypedRepair,1.0,1.0,1.0,EXT-DB-057,data_binding,False,3679
1.0,0.00024458,1.0,True,hard,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,6784.1,1,SingleAgent-AllTools,1.0,1.0,0.0,EXT-DB-057,data_binding,False,1387
0.0,0.00044772,0.0,False,hard,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,0.0,20889.8,1,SingleAgent-AllTools,0.0,0.0,0.0,EXT-AR-048,asset_routing,False,1998
0.8,0.0004207,1.0,False,hard,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,6776.5,2,KAFarmTwin-TypedRepair,0.1176,0.6,1.0,EXT-AR-048,asset_routing,False,2737
1.0,0.00036918,1.0,True,easy,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,4927.2,2,KAFarmTwin-TypedRepair,1.0,1.0,1.0,EXT-DB-008,data_binding,False,2448
