binding_f1,cost,critical_recall,cvsr,difficulty,evaluator_hash,evaluator_version,evidence_precision,latency_ms,llm_calls,method,object_f1,relation_f1,replay_success,task_id,task_type,technical_failure,tokens
0.0,0.0,1.0,True,hard,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,1.2,0,KAFarmTwin-TypedRepair,0.0,0.0,0.0,EXT-MQ-047,memory_query,False,0
0.0,0.0,1.0,True,hard,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,0.8,0,SingleAgent-AllTools,0.0,0.0,0.0,EXT-MQ-047,memory_query,False,0
1.0,0.00016408,1.0,True,easy,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,1661.2,1,SingleAgent-AllTools,1.0,1.0,0.0,EXT-DB-003,data_binding,False,1029
1.0,0.00036428,1.0,True,easy,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,4123.8,2,KAFarmTwin-TypedRepair,1.0,1.0,1.0,EXT-DB-003,data_binding,False,2452
1.0,0.00033684000000000003,1.0,False,easy,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,2604.4,2,KAFarmTwin-TypedRepair,0.1515,1.0,1.0,EXT-AR-013,asset_routing,False,2285
0.0,0.00051618,1.0,False,easy,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,5894.0,3,SingleAgent-AllTools,0.9706,0.2,0.8889,EXT-AR-013,asset_routing,False,3084
0.0,0.00050764,1.0,False,medium,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,5265.7,3,SingleAgent-AllTools,1.0,0.6667,0.6667,EXT-SC-031,scene_construction,False,3073
0.0,0.00050344,1.0,False,medium,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,5049.8,3,KAFarmTwin-TypedRepair,1.0,0.6667,1.0,EXT-SC-031,scene_construction,False,3058
1.0,0.00058044,1.0,True,hard,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,2793.4,2,KAFarmTwin-TypedRepair,1.0,1.0,1.0,EXT-DB-048,data_binding,False,3746
1.0,0.00025536,1.0,True,hard,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,2335.0,1,SingleAgent-AllTools,1.0,1.0,0.0,EXT-DB-048,data_binding,False,1425
