task_id,task_category,method,run_id,success,required_objects,generated_objects,correct_objects,required_relations,generated_relations,correct_relations,required_bindings,generated_bindings,correct_bindings,checked_rules,violated_rules,manual_corrections,expected_trace_steps,traceable_steps,trace_field_components,trace_executed_components,trace_declared_steps,trace_executed_steps,trace_evidence_steps,missing_objects,extra_objects,hierarchy_errors,relation_direction_errors,missing_relations,missing_bindings,binding_missing_fields,asset_type_errors,layout_boundary_errors,pseudo_trace_steps,trace_not_auditable,memory_range_errors,elapsed_ms,notes
T01,场景构建,Direct-LLM + Schema,1,1,30,31,30,38,34,34,10,5,5,8,0,0,1,0,0,0,1,0,0,0,1,0,0,4,5,0,0,0,1,1,0,25514,占位资产生成任务待执行
T01,场景构建,Ours KAFarmTwin,1,1,30,25,25,38,84,38,10,33,10,6,0,0,5,5,5,5,0,10,10,5,0,0,21,0,0,0,0,0,0,0,0,163680,"planSource={'mode': 'llm', 'model': 'Pro/moonshotai/Kimi-K2.6', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=2"
T02,场景构建,Direct-LLM + Schema,1,1,16,19,16,24,18,18,9,10,9,8,0,0,1,0,0,0,1,0,0,0,3,0,0,6,0,0,0,0,1,1,0,22351,苗床作为CropRow子类型，摄像头覆盖分组观测，缺失GLB已生成占位资产AS01
T02,场景构建,Ours KAFarmTwin,1,1,16,6,6,24,21,21,9,17,9,6,0,0,5,5,5,5,0,10,10,10,0,0,2,3,0,0,0,0,0,0,0,81747,"planSource={'mode': 'llm', 'model': 'Pro/moonshotai/Kimi-K2.6', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=4"
T03,场景构建,Direct-LLM + Schema,1,1,48,49,48,58,48,48,8,3,3,5,0,0,1,0,0,0,1,0,0,0,1,0,0,10,5,0,0,0,1,1,0,62497,无人机作为Camera类型满足R5，标尺为占位资产满足R9，无传感器故R2未触发，无灌溉设备故R6未触发
T03,场景构建,Ours KAFarmTwin,1,1,48,25,25,58,77,58,8,29,8,5,0,0,5,5,5,5,0,10,10,23,0,0,24,0,0,0,0,0,0,0,0,185519,"planSource={'mode': 'llm', 'model': 'Pro/moonshotai/Kimi-K2.6', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=4"
T04,场景构建,Direct-LLM + Schema,1,0,42,43,42,54,46,46,12,4,4,5,3,0,1,0,0,0,1,0,0,0,1,0,0,8,8,0,1,0,1,1,0,35105,方法限制仅声明式输出，无真实工具调用，R2数据绑定留待后续填充，R4资产采用placeholder策略
T04,场景构建,Ours KAFarmTwin,1,1,42,29,29,54,93,54,12,40,12,6,0,0,5,5,5,5,0,10,10,13,0,0,26,0,0,0,0,0,0,0,0,123157,"planSource={'mode': 'llm', 'model': 'Pro/moonshotai/Kimi-K2.6', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=5"
T05,场景构建,Direct-LLM + Schema,1,0,34,37,34,45,34,34,10,5,5,6,1,0,1,0,0,0,1,0,0,0,3,0,0,11,5,0,0,0,1,1,0,36642,R2违规因基线无真实数据流，R7-R8未触发，R9已生成占位资产
T05,场景构建,Ours KAFarmTwin,1,1,34,3,3,45,12,12,10,10,10,6,0,0,5,5,5,5,0,10,10,31,0,0,0,33,0,0,0,0,0,0,0,272719,"planSource={'mode': 'llm', 'model': 'Pro/moonshotai/Kimi-K2.6', 'provider': 'openai-compatible', 'attempt': 2, 'reason': 'llm json plan'}; missingAssets=3"
T06,场景构建,Direct-LLM + Schema,1,1,35,38,35,48,40,40,12,5,5,9,0,0,1,0,0,0,1,0,0,0,3,0,0,8,7,0,0,0,1,1,0,39788,食用菌场景适配R1层级，培养架映射CropRow、菌包托盘映射Plant；缺失GLB按R9生成占位资产和任务
T06,场景构建,Ours KAFarmTwin,1,1,35,5,5,48,16,16,12,17,12,6,0,0,5,5,5,5,0,10,10,30,0,0,3,32,0,0,0,0,0,0,0,76482,"planSource={'mode': 'llm', 'model': 'Pro/moonshotai/Kimi-K2.6', 'provider': 'openai-compatible', 'attempt': 1, 'reason': 'llm json plan'}; missingAssets=6"
T07,资产路由,Direct-LLM + Schema,1,1,24,32,24,31,31,31,24,6,6,6,0,0,1,0,0,0,1,0,0,0,8,0,0,0,18,0,0,0,1,1,0,27430,5株F2DMAS高保真，15株轻量GLB，摄像头传感器占位已保留
