method,category,n_runs,mean_cost_usd,mean_repair_rounds,mean_tokens,mean_llm_calls,cvsr_rate
GenericMultiAgent-AllTools,asset,20,0.001644,0.00,7633,5.00,0.000
GenericMultiAgent-AllTools,bind,20,0.001053,0.00,5539,5.00,0.000
GenericMultiAgent-AllTools,mem,20,0.000823,0.00,4658,5.00,0.000
GenericMultiAgent-AllTools,repair,20,0.000835,0.00,4773,5.00,0.000
GenericMultiAgent-AllTools,scene,20,0.001131,0.00,5789,5.00,0.050
GenericRepair-AllTools,asset,20,0.000433,0.00,1896,1.00,0.000
GenericRepair-AllTools,bind,20,0.000321,0.00,1497,1.00,0.000
GenericRepair-AllTools,mem,20,0.000416,0.35,1983,1.35,0.000
GenericRepair-AllTools,repair,20,0.000621,1.05,3118,2.05,0.000
GenericRepair-AllTools,scene,20,0.000404,0.20,1904,1.20,0.300
KAFarmTwin-TypedRepair,asset,20,0.000373,1.00,2501,2.00,1.000
KAFarmTwin-TypedRepair,bind,20,0.000448,1.00,2960,2.00,0.500
KAFarmTwin-TypedRepair,mem,20,0.000000,0.00,0,0.00,1.000
KAFarmTwin-TypedRepair,repair,20,0.000220,1.25,1558,1.25,0.000
KAFarmTwin-TypedRepair,scene,20,0.000660,0.35,3902,3.35,0.550
ReAct-AllTools,asset,20,0.003983,0.00,17751,10.00,0.000
ReAct-AllTools,bind,20,0.002610,0.00,12330,8.35,0.000
ReAct-AllTools,mem,20,0.001578,0.00,9118,10.00,0.000
ReAct-AllTools,repair,20,0.001910,0.00,9999,8.75,0.000
ReAct-AllTools,scene,20,0.003073,0.00,14241,9.25,0.000
SingleAgent-AllTools,asset,20,0.000625,0.00,3072,2.00,0.000
SingleAgent-AllTools,bind,20,0.000185,0.00,1097,1.00,0.450
SingleAgent-AllTools,mem,20,0.000000,0.00,0,0.00,1.000
SingleAgent-AllTools,repair,20,0.000000,0.00,0,0.00,0.000
SingleAgent-AllTools,scene,20,0.000564,0.00,3258,3.00,0.350

--- method totals (500-run Phase 3.3 optimized) ---
GenericMultiAgent-AllTools,ALL,100,0.001097,0.00,5678,5.00,0.010
GenericRepair-AllTools,ALL,100,0.000439,0.32,2080,1.32,0.060
KAFarmTwin-TypedRepair,ALL,100,0.000340,0.72,2184,1.72,0.610
ReAct-AllTools,ALL,100,0.002631,0.00,12688,9.27,0.000
SingleAgent-AllTools,ALL,100,0.000275,0.00,1485,1.20,0.360
