task_id,label,reason,cvsr
EXT-RR-001,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-002,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-003,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-004,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-005,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-006,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-007,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-008,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-009,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-010,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-011,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-012,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-013,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-014,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
EXT-RR-015,A_BASELINE_INCAPABLE_BY_DESIGN,SA has no repair loop; returns broken scene unchanged by design (single_agent.py:40-53). Scored data lacks construction_path; classified via llm_calls=0+tokens=0.,False
