task_id,prompt,template_family,violation_rule,violation_type,number_of_violations,repair_steps_required,explicit_fix_target_in_prompt,semantic_reasoning_required,ontology_reasoning_required,asset_reasoning_required,binding_reasoning_required,hierarchy_reasoning_required,multiple_valid_repairs,difficulty_tier,KF_success,SA_success,KF_llm_calls,SA_llm_calls
EXT-RR-001,修复既有场景中的资产类型错误：ERR001_pump 是 Pump，却绑定了 corn 植物资产。仅将其 asset_key 修正为 irrigation。,Pump → irrigation asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-002,对象 ERR002_irrigation（类型 Irrigation）存在错绑，当前 asset_key=oregano。执行最小修复，使 asset_key=irrigation；禁止重建整座温室。,Irrigation → irrigation asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-003,检查并修复 ERR003_camera 的设备资产：Camera 不应使用 plant，目标资产类别为 camera。保留对象 ID 和层级。,Camera → camera asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-004,对输入场景做类型化修复。目标对象 ERR004_sensor/Sensor 错用了 strawberry 资产，必须直接替换为 sensor，其余对象保持不变。,Sensor → sensor asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-005,修复既有场景中的资产类型错误：ERR005_pump 是 Pump，却绑定了 basil 植物资产。仅将其 asset_key 修正为 irrigation。,Pump → irrigation asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-006,对象 ERR006_irrigation（类型 Irrigation）存在错绑，当前 asset_key=alfalfa。执行最小修复，使 asset_key=irrigation；禁止重建整座温室。,Irrigation → irrigation asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-007,检查并修复 ERR007_camera 的设备资产：Camera 不应使用 lettuce，目标资产类别为 camera。保留对象 ID 和层级。,Camera → camera asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-008,对输入场景做类型化修复。目标对象 ERR008_sensor/Sensor 错用了 lemongrass 资产，必须直接替换为 sensor，其余对象保持不变。,Sensor → sensor asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-009,修复既有场景中的资产类型错误：ERR009_pump 是 Pump，却绑定了 soy 植物资产。仅将其 asset_key 修正为 irrigation。,Pump → irrigation asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-010,对象 ERR010_irrigation（类型 Irrigation）存在错绑，当前 asset_key=tomato。执行最小修复，使 asset_key=irrigation；禁止重建整座温室。,Irrigation → irrigation asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-011,检查并修复 ERR011_camera 的设备资产：Camera 不应使用 corn，目标资产类别为 camera。保留对象 ID 和层级。,Camera → camera asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-012,对输入场景做类型化修复。目标对象 ERR012_sensor/Sensor 错用了 oregano 资产，必须直接替换为 sensor，其余对象保持不变。,Sensor → sensor asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-013,修复既有场景中的资产类型错误：ERR013_pump 是 Pump，却绑定了 plant 植物资产。仅将其 asset_key 修正为 irrigation。,Pump → irrigation asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-014,对象 ERR014_irrigation（类型 Irrigation）存在错绑，当前 asset_key=strawberry。执行最小修复，使 asset_key=irrigation；禁止重建整座温室。,Irrigation → irrigation asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-015,检查并修复 ERR015_camera 的设备资产：Camera 不应使用 basil，目标资产类别为 camera。保留对象 ID 和层级。,Camera → camera asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-016,对输入场景做类型化修复。目标对象 ERR016_sensor/Sensor 错用了 alfalfa 资产，必须直接替换为 sensor，其余对象保持不变。 不得修改或删除非目标对象：ERR016_preserve_plant_1。,Sensor → sensor asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-017,修复既有场景中的资产类型错误：ERR017_pump 是 Pump，却绑定了 lettuce 植物资产。仅将其 asset_key 修正为 irrigation。 不得修改或删除非目标对象：ERR017_preserve_plant_1。,Pump → irrigation asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-018,对象 ERR018_irrigation（类型 Irrigation）存在错绑，当前 asset_key=lemongrass。执行最小修复，使 asset_key=irrigation；禁止重建整座温室。 不得修改或删除非目标对象：ERR018_preserve_plant_1。,Irrigation → irrigation asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-019,检查并修复 ERR019_camera 的设备资产：Camera 不应使用 soy，目标资产类别为 camera。保留对象 ID 和层级。 不得修改或删除非目标对象：ERR019_preserve_plant_1。,Camera → camera asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-020,对输入场景做类型化修复。目标对象 ERR020_sensor/Sensor 错用了 tomato 资产，必须直接替换为 sensor，其余对象保持不变。 不得修改或删除非目标对象：ERR020_preserve_plant_1。,Sensor → sensor asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-021,修复既有场景中的资产类型错误：ERR021_pump 是 Pump，却绑定了 corn 植物资产。仅将其 asset_key 修正为 irrigation。 不得修改或删除非目标对象：ERR021_preserve_plant_1。,Pump → irrigation asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-022,对象 ERR022_irrigation（类型 Irrigation）存在错绑，当前 asset_key=oregano。执行最小修复，使 asset_key=irrigation；禁止重建整座温室。 不得修改或删除非目标对象：ERR022_preserve_plant_1。,Irrigation → irrigation asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-023,检查并修复 ERR023_camera 的设备资产：Camera 不应使用 plant，目标资产类别为 camera。保留对象 ID 和层级。 不得修改或删除非目标对象：ERR023_preserve_plant_1。,Camera → camera asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-024,对输入场景做类型化修复。目标对象 ERR024_sensor/Sensor 错用了 strawberry 资产，必须直接替换为 sensor，其余对象保持不变。 不得修改或删除非目标对象：ERR024_preserve_plant_1。,Sensor → sensor asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-025,修复既有场景中的资产类型错误：ERR025_pump 是 Pump，却绑定了 basil 植物资产。仅将其 asset_key 修正为 irrigation。 不得修改或删除非目标对象：ERR025_preserve_plant_1。,Pump → irrigation asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-026,对象 ERR026_irrigation（类型 Irrigation）存在错绑，当前 asset_key=alfalfa。执行最小修复，使 asset_key=irrigation；禁止重建整座温室。 不得修改或删除非目标对象：ERR026_preserve_plant_1。,Irrigation → irrigation asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-027,检查并修复 ERR027_camera 的设备资产：Camera 不应使用 lettuce，目标资产类别为 camera。保留对象 ID 和层级。 不得修改或删除非目标对象：ERR027_preserve_plant_1。,Camera → camera asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-028,对输入场景做类型化修复。目标对象 ERR028_sensor/Sensor 错用了 lemongrass 资产，必须直接替换为 sensor，其余对象保持不变。 不得修改或删除非目标对象：ERR028_preserve_plant_1。,Sensor → sensor asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-029,修复既有场景中的资产类型错误：ERR029_pump 是 Pump，却绑定了 soy 植物资产。仅将其 asset_key 修正为 irrigation。 不得修改或删除非目标对象：ERR029_preserve_plant_1。,Pump → irrigation asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-030,对象 ERR030_irrigation（类型 Irrigation）存在错绑，当前 asset_key=tomato。执行最小修复，使 asset_key=irrigation；禁止重建整座温室。 不得修改或删除非目标对象：ERR030_preserve_plant_1。,Irrigation → irrigation asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-031,检查并修复 ERR031_camera 的设备资产：Camera 不应使用 corn，目标资产类别为 camera。保留对象 ID 和层级。 不得修改或删除非目标对象：ERR031_preserve_plant_1。,Camera → camera asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-032,对输入场景做类型化修复。目标对象 ERR032_sensor/Sensor 错用了 oregano 资产，必须直接替换为 sensor，其余对象保持不变。 不得修改或删除非目标对象：ERR032_preserve_plant_1。,Sensor → sensor asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-033,修复既有场景中的资产类型错误：ERR033_pump 是 Pump，却绑定了 plant 植物资产。仅将其 asset_key 修正为 irrigation。 不得修改或删除非目标对象：ERR033_preserve_plant_1。,Pump → irrigation asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-034,对象 ERR034_irrigation（类型 Irrigation）存在错绑，当前 asset_key=strawberry。执行最小修复，使 asset_key=irrigation；禁止重建整座温室。 不得修改或删除非目标对象：ERR034_preserve_plant_1。,Irrigation → irrigation asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-035,检查并修复 ERR035_camera 的设备资产：Camera 不应使用 basil，目标资产类别为 camera。保留对象 ID 和层级。 不得修改或删除非目标对象：ERR035_preserve_plant_1。,Camera → camera asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-036,对输入场景做类型化修复。目标对象 ERR036_sensor/Sensor 错用了 alfalfa 资产，必须直接替换为 sensor，其余对象保持不变。 不得修改或删除非目标对象：ERR036_preserve_plant_1。,Sensor → sensor asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-037,修复既有场景中的资产类型错误：ERR037_pump 是 Pump，却绑定了 lettuce 植物资产。仅将其 asset_key 修正为 irrigation。 不得修改或删除非目标对象：ERR037_preserve_plant_1。,Pump → irrigation asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-038,对象 ERR038_irrigation（类型 Irrigation）存在错绑，当前 asset_key=lemongrass。执行最小修复，使 asset_key=irrigation；禁止重建整座温室。 不得修改或删除非目标对象：ERR038_preserve_plant_1。,Irrigation → irrigation asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-039,检查并修复 ERR039_camera 的设备资产：Camera 不应使用 soy，目标资产类别为 camera。保留对象 ID 和层级。 不得修改或删除非目标对象：ERR039_preserve_plant_1。,Camera → camera asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-040,对输入场景做类型化修复。目标对象 ERR040_sensor/Sensor 错用了 tomato 资产，必须直接替换为 sensor，其余对象保持不变。 不得修改或删除非目标对象：ERR040_preserve_plant_1。,Sensor → sensor asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-041,修复既有场景中的资产类型错误：ERR041_pump 是 Pump，却绑定了 corn 植物资产。仅将其 asset_key 修正为 irrigation。 不得修改或删除非目标对象：ERR041_preserve_plant_1。,Pump → irrigation asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-042,对象 ERR042_irrigation（类型 Irrigation）存在错绑，当前 asset_key=oregano。执行最小修复，使 asset_key=irrigation；禁止重建整座温室。 不得修改或删除非目标对象：ERR042_preserve_plant_1。,Irrigation → irrigation asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-043,检查并修复 ERR043_camera 的设备资产：Camera 不应使用 plant，目标资产类别为 camera。保留对象 ID 和层级。 不得修改或删除非目标对象：ERR043_preserve_plant_1。,Camera → camera asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-044,对输入场景做类型化修复。目标对象 ERR044_sensor/Sensor 错用了 strawberry 资产，必须直接替换为 sensor，其余对象保持不变。 不得修改或删除非目标对象：ERR044_preserve_plant_1。,Sensor → sensor asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-045,修复既有场景中的资产类型错误：ERR045_pump 是 Pump，却绑定了 basil 植物资产。仅将其 asset_key 修正为 irrigation。 不得修改或删除非目标对象：ERR045_preserve_plant_1。,Pump → irrigation asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
EXT-RR-046,"对象 ERR046_irrigation（类型 Irrigation）存在错绑，当前 asset_key=alfalfa。执行最小修复，使 asset_key=irrigation；禁止重建整座温室。 不得修改或删除非目标对象：ERR046_preserve_plant_1, ERR046_pres",Irrigation → irrigation asset fix,R4,asset_type_mismatch,1,1,True,False,False,False,False,False,False,D1,True,False,1,0
