binding_f1,cost,critical_recall,cvsr,difficulty,evaluator_hash,evaluator_version,evidence_precision,latency_ms,llm_calls,method,object_f1,relation_f1,replay_success,task_id,task_type,technical_failure,tokens
0.0,0.0,1.0,True,hard,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,1.1,0,KAFarmTwin-TypedRepair,0.0,0.0,0.0,EXT-MQ-047,memory_query,False,0
0.0,0.0,1.0,True,hard,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,0.9,0,SingleAgent-AllTools,0.0,0.0,0.0,EXT-MQ-047,memory_query,False,0
1.0,0.00015162,1.0,True,easy,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,2517.9,1,SingleAgent-AllTools,1.0,1.0,0.0,EXT-DB-003,data_binding,False,977
1.0,0.00035266,1.0,True,easy,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,3665.0,2,KAFarmTwin-TypedRepair,1.0,1.0,1.0,EXT-DB-003,data_binding,False,2382
1.0,0.00032983999999999997,1.0,False,easy,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,4568.0,2,KAFarmTwin-TypedRepair,0.1515,1.0,1.0,EXT-AR-013,asset_routing,False,2237
0.0,0.0007105,1.0,False,easy,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,22698.5,3,SingleAgent-AllTools,0.0588,0.2,0.8889,EXT-AR-013,asset_routing,False,3769
0.0,0.00065226,1.0,False,medium,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,25297.5,3,SingleAgent-AllTools,0.9841,0.7273,0.625,EXT-SC-031,scene_construction,False,3580
0.0,0.0006405,1.0,False,medium,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,18174.0,3,KAFarmTwin-TypedRepair,0.9841,0.7273,1.0,EXT-SC-031,scene_construction,False,3538
0.6667,0.00054124,1.0,False,hard,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,7099.4,2,KAFarmTwin-TypedRepair,1.0,1.0,1.0,EXT-DB-048,data_binding,False,3534
1.0,0.00023898,1.0,True,hard,8b7d4695f32523c96c79e649252f6f7b9f85eab9a7f6973a565553a740c47c5f,evaluator_v2.3,1.0,5999.8,1,SingleAgent-AllTools,1.0,1.0,0.0,EXT-DB-048,data_binding,False,1354
